algorithm,history_available,availability,policy_id,model,subset,baseline,domain,n,delta_log_loss,benefit_log_loss,bootstrap_se,marginal_delta95_low,marginal_delta95_high,marginal_delta_upper95,direction_favors_budget1,marginal_superiority_unadjusted
ridge,False,history_unavailable,ridge|history_unavailable|budget=01,ridge::B,B,ridge::NONE,whole,1520,-0.008203755818467563,0.008203755818467563,0.003242269233345482,-0.014507855303720826,-0.001916504904591279,-0.0027931336811645967,True,True
ridge,True,history_available,ridge|history_available|budget=01,ridge::H_B,H_B,P0,whole,1520,-0.0033808865007918256,0.0033808865007918256,0.002423066753446434,-0.008054499711370199,0.001351140888539271,0.0005064763691428119,True,False
hgb,False,history_unavailable,hgb|history_unavailable|budget=01,hgb::B,B,hgb::NONE,whole,1520,-0.003747157288809862,0.003747157288809862,0.0038053495079238713,-0.01144472330421226,0.003589054667204368,0.0025121935612371945,True,False
hgb,True,history_available,hgb|history_available|budget=01,hgb::H_B,H_B,P0,whole,1520,-0.0037543412207717776,0.0037543412207717776,0.0029729029313164215,-0.009567735102434818,0.0017334169242877906,0.0011206735852547721,True,False
ridge,False,history_unavailable,ridge|history_unavailable|budget=01,ridge::B,B,ridge::NONE,disjoint,879,-0.007060745992825836,0.007060745992825836,0.004309748093025391,-0.015063337161842142,0.0016488525819430694,0.0002624657350582234,True,False
ridge,True,history_available,ridge|history_available|budget=01,ridge::H_B,H_B,P0,disjoint,879,-0.0038152011762982935,0.0038152011762982935,0.003284473009276384,-0.01007754207275095,0.002687055084264772,0.001593878658551524,True,False
hgb,False,history_unavailable,hgb|history_unavailable|budget=01,hgb::B,B,hgb::NONE,disjoint,879,-0.0029161598490439165,0.0029161598490439165,0.004944405112560138,-0.012491994331718125,0.007453613414328724,0.00534958590781206,True,False
hgb,True,history_available,hgb|history_available|budget=01,hgb::H_B,H_B,P0,disjoint,879,-0.0061752393493208725,0.0061752393493208725,0.003990016797844816,-0.013984565951716241,0.00198013657839237,0.00031963491894072826,True,False
