algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status,marginal95_low,marginal95_high,marginal_one_sided_lower95,q_primary_absolute,q_standardized,standardized_joint95_low,standardized_joint95_high,critical_primary_positive_direction,critical_standardized_positive_direction,critical_marginal_two_sided_normal,mdd80_primary_positive_direction_normal,mdd80_standardized_positive_direction_normal,mdd80_marginal_two_sided_positive_direction_normal,mdd80_primary_positive_direction_bootstrap_shift,mdd80_standardized_positive_direction_bootstrap_shift,mdd80_marginal_two_sided_positive_direction_bootstrap_shift,precision_status
ridge,False,C,개인정보 수집 동의 반응,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0001997025401955,-0.0014293205892592,0.0009384704778363,-0.0229352230796459,0.0225358179992548,not_resolved,0.0006122914763915,0.0227355205394504,56,2000,-0.000544493225276,0.0003447906850805,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0013378755582274598,0.0010299155088681444,-0.001184456006373037,0.022735520539450417,3.2266291057245713,-0.002175340039107769,0.0017759349587166183,0.022735520539450417,0.001975637498912194,0.0012000692417683857,0.023250838047117292,0.00249095500657907,0.0017153867494352618,0.02323998260269682,0.002480099562158596,0.0016426350812782868,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,False,A,생성형 AI 이용 경험,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0151312020023883,-0.0229761552671139,-0.0079752882066984,-0.0378667225418388,0.007604318537062,not_resolved,0.0038499683069235,0.0227355205394504,56,2000,0.0040356563169244,-0.0191668583193127,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.022287115798078322,-0.007286248737662877,-0.021230077805752263,0.022735520539450417,3.2266291057245713,-0.02755362179762493,-0.002708782207151837,0.022735520539450417,0.012422419795236546,0.007545799223190728,0.025975735615140005,0.01566263487092613,0.010786014298880316,0.026046194705914696,0.015733093961700823,0.010466587962154219,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,False,K,공통 디지털 역량 11문항,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,0.0196235387782918,0.0120383229814965,0.026755289053206,-0.0031119817611585,0.0423590593177422,not_resolved,0.003705965350986,0.0227355205394504,56,2000,0.0118959642872297,0.007727574491062,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.012491788503377635,0.027208754575087167,0.013463315080112037,0.022735520539450417,3.2266291057245713,0.007665763111993341,0.031581314444590364,0.022735520539450417,0.01195777566629851,0.007263558615886086,0.025854539669725812,0.015076794796573903,0.010382577746161482,0.025654293089703385,0.014876548216551478,0.010050522825167184,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,True,D,인구통계 정보,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0101836856363322,-0.0199061773710161,-5.1350955064640615e-05,-0.0329192061757826,0.0125518349031182,not_resolved,0.0051030611284651,0.0227355205394504,56,2000,0.0185567709662965,-0.0287404566026287,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.02031602031759977,-0.00046119390164826336,-0.018539167139076856,0.022735520539450417,3.2266291057245713,-0.026649371201729555,0.006281999929065146,0.022735520539450417,0.01646568556539735,0.010001816022698033,0.02703036514138725,0.02076053016733418,0.014296660624634867,0.02688424437848407,0.020614409404431003,0.014281058520301218,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,True,B,소비서비스 생활 개선 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0058793950141508,0.0018926907834517,0.0103370707636848,-0.0168561255252995,0.0286149155536013,not_resolved,0.0021589484495201,0.0227355205394504,56,2000,0.0020421720139784,0.0038372230001724,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.0014217192646169682,0.009866099244850025,0.0020921127765956065,0.022735520539450417,3.2266291057245713,-0.0010867308908298528,0.012845520919131635,0.022735520539450417,0.006966125904980744,0.004231461205538142,0.02455253739675592,0.008783142762286247,0.006048478062843645,0.0245452605916386,0.008775865957168925,0.006267415801722103,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,True,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0092086013197255,-0.0130126942843727,-0.0056983084906894,-0.0319441218591759,0.0135269192197248,not_resolved,0.0019063172985031,0.0227355205394504,56,2000,0.0029303020378706,-0.0121389033575961,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.012718894148761649,-0.005404508355078344,-0.012286503159512734,0.022735520539450417,3.2266291057245713,-0.015359580199822042,-0.003057622439629087,0.022735520539450417,0.006150978880096477,0.0037363132481718518,0.02433991765579802,0.007755375996444077,0.005340710364519452,0.024315854765581103,0.0077313131062271626,0.005090627055166769,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,True,P,추천서비스 제공자 책무 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0022598429814723,-0.0090984697519901,0.0040600833178047,-0.0249953635209227,0.020475677557978,not_resolved,0.0033320439766481,0.0227355205394504,56,2000,0.0075572375415563,-0.0098170805230287,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.008579769280749452,0.0045787837890454,-0.007414491640572432,0.022735520539450417,3.2266291057245713,-0.013011113058079369,0.008491427095134632,0.022735520539450417,0.010751270076607,0.006530686189133895,0.02553983950139619,0.01355558903855277,0.009335005151079667,0.025692993870907725,0.013708743408064309,0.00927739963073439,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,True,C,개인정보 수집 동의 반응,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0009535963944781,-0.000285304598843,0.0021302629911302,-0.0217819241449723,0.0236891169339285,not_resolved,0.0006260586456905,0.0227355205394504,56,2000,0.0010551004276197,-0.0001015040331416,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.00022307020217406754,0.002192497387799242,-5.661774122101416e-05,0.022735520539450417,3.2266291057245713,-0.0010664626535973804,0.0029736554425536066,0.022735520539450417,0.0020200590480754935,0.0012270523977633142,0.02326242478912545,0.0025469632977505254,0.0017539566474383459,0.023259210696959548,0.002543749205584624,0.0017003567541613112,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,True,A,생성형 AI 이용 경험,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0171770696403883,-0.0231953801755971,-0.0115843277075254,-0.0399125901798387,0.005558450899062,not_resolved,0.0029718722617064,0.0227355205394504,56,2000,0.0016810403557805,-0.0188581099961688,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.022769811573251197,-0.011158759105179467,-0.021795725349566152,0.022735520539450417,3.2266291057245713,-0.02676619917850598,-0.007587940102270657,0.022735520539450417,0.009589129538117662,0.005824762599598309,0.025236711338368956,0.012090320337036201,0.00832595339851685,0.025237512096158,0.012091121094825245,0.00809473348957046,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,True,K,공통 디지털 역량 11문항,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0220104705856525,0.0155663688595757,0.0286386099924819,-0.0007250499537978,0.0447459911251029,not_resolved,0.0033686258954237,0.0227355205394504,56,2000,0.0041215017355865,0.0178889688500659,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.015382331178823167,0.028454572311729456,0.016354530767351515,0.022735520539450417,3.2266291057245713,0.011141164225180907,0.03287977694612426,0.022735520539450417,0.010869306360471676,0.0066023854324194844,0.02557062762100259,0.013704413442023848,0.009437492513971659,0.025423829528728244,0.013557615349749502,0.009316448396107244,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
