algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status
hgb,True,B,소비서비스 생활 개선 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.005879395014150891,0.0018926907834517482,0.010337070763684812,-0.016856125525299526,0.02861491555360131,not_resolved,0.0021589484495201784,0.022735520539450417,56,2000,0.002042172013978414,0.0038372230001724773,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.009208601319725564,-0.013012694284372786,-0.005698308490689482,-0.03194412185917598,0.013526919219724853,not_resolved,0.0019063172985031437,0.022735520539450417,56,2000,0.002930302037870612,-0.012138903357596176,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,P,추천서비스 제공자 책무 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0022598429814723693,-0.009098469751990142,0.004060083317804711,-0.024995363520922787,0.020475677557978047,not_resolved,0.0033320439766481003,0.022735520539450417,56,2000,0.007557237541556339,-0.00981708052302871,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,C,개인정보 수집 동의 반응,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0009535963944781131,-0.0002853045988430156,0.002130262991130292,-0.021781924144972303,0.02368911693392853,not_resolved,0.000626058645690506,0.022735520539450417,56,2000,0.0010551004276197304,-0.00010150403314161736,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,A,생성형 AI 이용 경험,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.01717706964038832,-0.023195380175597174,-0.011584327707525441,-0.03991259017983874,0.005558450899062099,not_resolved,0.002971872261706491,0.022735520539450417,56,2000,0.0016810403557805257,-0.018858109996168843,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,K,공통 디지털 역량 11문항,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.022010470585652583,0.015566368859575703,0.02863860999248199,-0.0007250499537978343,0.044745991125102996,not_resolved,0.0033686258954237222,0.022735520539450417,56,2000,0.004121501735586595,0.017888968850065988,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,D,인구통계 정보,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.029205400769455225,-0.04303681958604997,-0.015732609839936018,-0.05194092130890564,-0.006469880230004808,negative,0.006993671178695014,0.022735520539450417,56,2000,0.02134071565878043,-0.05054611642823566,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,B,소비서비스 생활 개선 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.00431354515901577,-0.0009660555751653821,0.009910022262622976,-0.018421975380434646,0.02704906569846619,not_resolved,0.0028253957449131083,0.022735520539450417,56,2000,0.0043907374321006986,-7.719227308492817e-05,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0032103251780062855,-0.005174558713951102,-0.0012166406495431876,-0.025945845717456704,0.01952519536144413,not_resolved,0.0010013262417112971,0.022735520539450417,56,2000,0.001766125327973453,-0.0049764505059797385,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,P,추천서비스 제공자 책무 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.007436444697109161,-0.015177956181231217,-4.375609901158892e-05,-0.03017196523655958,0.015299075842341256,not_resolved,0.0038117320955829365,0.022735520539450417,56,2000,0.010442182886233655,-0.017878627583342816,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
