algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status,standardized_joint95_low,standardized_joint95_high,standardized_critical_value,standardized_joint95_sign,sign_conclusion_changed,sensitivity_status
ridge,False,P,추천서비스 제공자 책무 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0023987894818343,-0.0043898639661151,-0.0004447415703687,-0.0251343100212847,0.020336731057616,not_resolved,0.000983206497973,0.0227355205394504,56,2000,0.0002054202773029,-0.0026042097591372,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.005571232185131863,0.0007736532214631586,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,C,개인정보 수집 동의 반응,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0001997025401955,-0.0014293205892592,0.0009384704778363,-0.0229352230796459,0.0225358179992548,not_resolved,0.0006122914763915,0.0227355205394504,56,2000,-0.000544493225276,0.0003447906850805,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.002175340039107769,0.0017759349587166183,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,A,생성형 AI 이용 경험,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0151312020023883,-0.0229761552671139,-0.0079752882066984,-0.0378667225418388,0.007604318537062,not_resolved,0.0038499683069235,0.0227355205394504,56,2000,0.0040356563169244,-0.0191668583193127,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.02755362179762493,-0.002708782207151837,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,K,공통 디지털 역량 11문항,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,0.0196235387782918,0.0120383229814965,0.026755289053206,-0.0031119817611585,0.0423590593177422,not_resolved,0.003705965350986,0.0227355205394504,56,2000,0.0118959642872297,0.007727574491062,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.007665763111993341,0.031581314444590364,3.2266291057245713,positive,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,D,인구통계 정보,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0101836856363322,-0.0199061773710161,-5.1350955064640615e-05,-0.0329192061757826,0.0125518349031182,not_resolved,0.0051030611284651,0.0227355205394504,56,2000,0.0185567709662965,-0.0287404566026287,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.026649371201729555,0.006281999929065146,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,B,소비서비스 생활 개선 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0058793950141508,0.0018926907834517,0.0103370707636848,-0.0168561255252995,0.0286149155536013,not_resolved,0.0021589484495201,0.0227355205394504,56,2000,0.0020421720139784,0.0038372230001724,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0010867308908298528,0.012845520919131635,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0092086013197255,-0.0130126942843727,-0.0056983084906894,-0.0319441218591759,0.0135269192197248,not_resolved,0.0019063172985031,0.0227355205394504,56,2000,0.0029303020378706,-0.0121389033575961,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.015359580199822042,-0.003057622439629087,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,P,추천서비스 제공자 책무 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0022598429814723,-0.0090984697519901,0.0040600833178047,-0.0249953635209227,0.020475677557978,not_resolved,0.0033320439766481,0.0227355205394504,56,2000,0.0075572375415563,-0.0098170805230287,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.013011113058079369,0.008491427095134632,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,C,개인정보 수집 동의 반응,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0009535963944781,-0.000285304598843,0.0021302629911302,-0.0217819241449723,0.0236891169339285,not_resolved,0.0006260586456905,0.0227355205394504,56,2000,0.0010551004276197,-0.0001015040331416,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0010664626535973804,0.0029736554425536066,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,A,생성형 AI 이용 경험,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0171770696403883,-0.0231953801755971,-0.0115843277075254,-0.0399125901798387,0.005558450899062,not_resolved,0.0029718722617064,0.0227355205394504,56,2000,0.0016810403557805,-0.0188581099961688,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.02676619917850598,-0.007587940102270657,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,K,공통 디지털 역량 11문항,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0220104705856525,0.0155663688595757,0.0286386099924819,-0.0007250499537978,0.0447459911251029,not_resolved,0.0033686258954237,0.0227355205394504,56,2000,0.0041215017355865,0.0178889688500659,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.011141164225180907,0.03287977694612426,3.2266291057245713,positive,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,False,D,인구통계 정보,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0292054007694552,-0.0430368195860499,-0.015732609839936,-0.0519409213089056,-0.0064698802300048,negative,0.006993671178695,0.0227355205394504,56,2000,0.0213407156587804,-0.0505461164282356,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.051771383750499625,-0.006639417788410821,3.2266291057245713,negative,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,False,B,소비서비스 생활 개선 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.0043135451590157,-0.0009660555751653,0.0099100222626229,-0.0184219753804346,0.0270490656984661,not_resolved,0.0028253957449131,0.0227355205394504,56,2000,0.0043907374321006,-7.719227308492817e-05,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.004802958986711227,0.013430049304742769,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,False,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0032103251780062,-0.0051745587139511,-0.0012166406495431,-0.0259458457174567,0.0195251953614441,not_resolved,0.0010013262417112,0.0227355205394504,56,2000,0.0017661253279734,-0.0049764505059797,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.006441233573837753,2.058321782518217e-05,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,False,P,추천서비스 제공자 책무 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0074364446971091,-0.0151779561812312,-4.375609901158892e-05,-0.0301719652365595,0.0152990758423412,not_resolved,0.0038117320955829,0.0227355205394504,56,2000,0.0104421828862336,-0.0178786275833428,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.019735490419941576,0.0048626010257232545,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,False,C,개인정보 수집 동의 반응,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.0017937707579489,0.0005288988704461,0.0030309157030767,-0.0209417497815014,0.0245292912973993,not_resolved,0.0006461043141416,0.0227355205394504,56,2000,0.0010469671356578,0.0007468036222911,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0002909682273946391,0.0038785097432925074,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,False,A,생성형 AI 이용 경험,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0130008459896096,-0.0203899289137412,-0.0061655400786598,-0.03573636652906,0.0097346745498407,not_resolved,0.0036375652109208,0.0227355205394504,56,2000,0.0036513609004473,-0.016652206890057,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.024737919773138092,-0.0012637722060812664,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,False,K,공통 디지털 역량 11문항,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.019583946984854,0.012798936959988,0.026650039775388,-0.0031515735545964,0.0423194675243044,not_resolved,0.0035705192997412,0.0227355205394504,56,2000,0.0083840744236326,0.0111998725612213,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.008063205489757516,0.03110468847995051,3.2266291057245713,positive,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,True,D,인구통계 정보,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0560092624640095,-0.0782564332982169,-0.034784636208634,-0.0787447830034599,-0.033273741924559,negative,0.0110326691625631,0.0227355205394504,56,2000,0.0176071944408208,-0.0736164569048303,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0916075938977657,-0.020410931030253307,3.2266291057245713,negative,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,True,B,소비서비스 생활 개선 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0036798432591912,-0.0016674543541319,0.0091380700080254,-0.0190556772802591,0.0264153637986416,not_resolved,0.0027497933601102,0.0227355205394504,56,2000,0.0029248912157428,0.0007549520434484,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.005192720031268589,0.012552406549651143,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,True,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0039618271848433,-0.0052214423598045,-0.002795384014703,-0.0266973477242937,0.0187736933546071,not_resolved,0.000623809035426,0.0227355205394504,56,2000,3.79418105763098e-05,-0.0039997689954196,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.005974627574962985,-0.0019490267947236497,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,True,P,추천서비스 제공자 책무 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0025612892398479,-0.0051273876694222,9.846748409011442e-05,-0.0252968097792983,0.0201742312996025,not_resolved,0.0013395675858136,0.0227355205394504,56,2000,0.0001255383790875,-0.0026868276189354,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.006883577001319352,0.0017609985216235366,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,True,C,개인정보 수집 동의 반응,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0006307035400037,-0.0006838865751691,0.0018528067045127,-0.0221048169994467,0.0233662240794541,not_resolved,0.0006356831961353,0.0227355205394504,56,2000,-0.0009338527840025,0.0015645563240062,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0014204103626667512,0.002681817442674173,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,True,A,생성형 AI 이용 경험,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0191424586121759,-0.0277667795606039,-0.0114456182373175,-0.0418779791516263,0.0035930619272744,not_resolved,0.0042319999742941,0.0227355205394504,56,2000,0.0019615370498411,-0.021103995662017,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.03279755290465899,-0.005487364319692862,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,True,K,공통 디지털 역량 11문항,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0147794868732525,0.0047840986727322,0.0248808096922414,-0.0079560336661979,0.0375150074127029,not_resolved,0.0050391691444883,0.0227355205394504,56,2000,0.0096358842107768,0.0051436026624756,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0014800429570227813,0.031039016703527787,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,D,인구통계 정보,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0566560449814328,-0.0779630292030484,-0.035975355866599,-0.0793915655208833,-0.0339205244419824,negative,0.0106270827302588,0.0227355205394504,56,2000,0.0175851985447428,-0.0742412435261757,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.09094569942782903,-0.02236639053503675,3.2266291057245713,negative,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
