year,variable,description
2023,q1_8,Q1. 지능형 서비스 이용 빈도 8) 소비
2023,q2_8,Q2. 지능형 서비스 이용 의도 8) 소비
2023,q3_8,Q3. 지능형 서비스에 대한 기대 수준 8) 소비
2023,q15_6,Q15. 이용기록이 서버에 남을 것을 우려해 이용을 망설인 경험 6) 온라인 쇼핑몰에서 물건 구매하기
2023,q20_7,Q20. 기관·기업의 개인정보 관리 7) 온라인 쇼핑몰
2023,q33_6,"Q33. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다"
