year,variable,description
2025,q1_8,Q1. 지능형 서비스 이용 빈도 8) 소비
2025,q2_8,Q2. 지능형 서비스 이용 의도 8) 소비
2025,q3_8,Q3. 지능형 서비스에 대한 기대 수준 8) 소비
2025,q14_6,Q14. 이용기록이 서버에 남을 것을 우려해 이용을 망설인 경험 6) 온라인 쇼핑몰에서 물건 구매하기
2025,q18_7,Q18. 기관·기업의 개인정보 관리 7) 온라인 쇼핑몰
2025,q29_2,Q29. 디지털 역량 수준 2) 당근마켓과 같은 중고 거래 앱을 통해 새 상품보다 저렴한 가격에 물건을 구매할 수 있다
2025,q29_6,"Q29. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다"
