target,domain,algorithm,availability,role,source_model,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
regular,whole,ridge,history_available,baseline,P0,1520,292,0.19210526315789472,0.48153764577822633,0.1529228265752932,0.5738867074204632,0.21911605562212993,0.39700920192209976,1.3036840462576365
regular,whole,ridge,history_available,full,ridge::H_D_B_M_P_C_A_K,1520,292,0.19210526315789472,0.5153190853918252,0.16823043034230675,0.6081862701352014,0.23542551306833615,-0.9713482479796759,0.33594594471867795
regular,whole,ridge,history_unavailable,baseline,ridge::NONE,1520,292,0.19210526315789472,0.4892666784043059,0.15520250752497775,0.5,0.19210526315789472,,
regular,whole,ridge,history_unavailable,full,ridge::D_B_M_P_C_A_K,1520,292,0.19210526315789472,0.515302462536903,0.1673160763005306,0.5924043996251841,0.23169112238354803,-0.9892479489647118,0.31792344878409473
regular,whole,hgb,history_available,baseline,P0,1520,292,0.19210526315789472,0.48153764577822633,0.1529228265752932,0.5738867074204632,0.21911605562212993,0.39700920192209976,1.3036840462576365
regular,whole,hgb,history_available,full,hgb::H_D_B_M_P_C_A_K,1520,292,0.19210526315789472,0.49316633033204915,0.15859939458395095,0.6152140689839811,0.24708477252044378,-0.7770442813810091,0.4597727142414395
regular,whole,hgb,history_unavailable,baseline,hgb::NONE,1520,292,0.19210526315789472,0.4892666784043059,0.15520250752497775,0.5,0.19210526315789472,,
regular,whole,hgb,history_unavailable,full,hgb::D_B_M_P_C_A_K,1520,292,0.19210526315789472,0.49680413460315537,0.16022965095250682,0.6047657958145553,0.23875150240624116,-0.828977992130795,0.42439355751087837
regular,disjoint,ridge,history_available,baseline,P0,879,171,0.1945392491467577,0.49129088893983947,0.15623804891765725,0.5379125780553078,0.2074943797595136,-0.5204582286248852,0.6346668744851185
regular,disjoint,ridge,history_available,full,ridge::H_D_B_M_P_C_A_K,879,171,0.1945392491467577,0.5345553766533226,0.17339969615535067,0.5666237155978457,0.22120066810855105,-1.0911869191328218,0.22562950303904147
regular,disjoint,ridge,history_unavailable,baseline,ridge::NONE,879,171,0.1945392491467577,0.49278318589663,0.15670763351298547,0.5,0.1945392491467577,,
regular,disjoint,ridge,history_unavailable,full,ridge::D_B_M_P_C_A_K,879,171,0.1945392491467577,0.5323635607179064,0.1719473091288978,0.5594831004063832,0.22072349311622025,-1.0937942096261417,0.22076262062319343
regular,disjoint,hgb,history_available,baseline,P0,879,171,0.1945392491467577,0.49129088893983947,0.15623804891765725,0.5379125780553078,0.2074943797595136,-0.5204582286248852,0.6346668744851185
regular,disjoint,hgb,history_available,full,hgb::H_D_B_M_P_C_A_K,879,171,0.1945392491467577,0.5175499211017883,0.1655330296665404,0.5577567978326229,0.22664675303275664,-1.0584122931385382,0.23989217265978174
regular,disjoint,hgb,history_unavailable,baseline,hgb::NONE,879,171,0.1945392491467577,0.49278318589663,0.15670763351298547,0.5,0.1945392491467577,,
regular,disjoint,hgb,history_unavailable,full,hgb::D_B_M_P_C_A_K,879,171,0.1945392491467577,0.5185010965060399,0.16658761352941584,0.5579426438034824,0.2240094464382252,-1.062610501043739,0.23828524112746685
