algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
ridge_fixed,False,extended_K,ridge_fixed::B_M_C_K,B_M_C_K,14,0.6548792499896149,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0265653197051456,-0.0081209631283032,-0.0307642998554017,-0.0123199432785593,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::B_M_C_K,B_M_C_K,14,0.6611351308330662,hgb::D_B_M_P_C_A_K,prevalence,-0.051670172744312,-0.0273401153786515,-0.0245084190119503,-0.0001783616462898,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge_fixed,False,extended_K,ridge_fixed::B_C_A_K,B_C_A_K,14,0.6661703469907019,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0152742227040586,0.0031701338727837,-0.0194732028543146,-0.0010288462774722,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_K,D_K,15,0.6662749544394736,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0151696152552868,0.0032747413215555,-0.0193685954055428,-0.0009242388287004,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_B_K,D_B_K,16,0.6596940162000948,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0217505534946657,-0.0033061969178233,-0.0259495336449218,-0.0075051770680793,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_C_K,D_C_K,16,0.6661890288921699,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0152555408025906,0.0031888157742518,-0.0194545209528465,-0.0010101643760041,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_B_C_K,D_B_C_K,17,0.6595085645031791,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0219360051915814,-0.003491648614739,-0.0261349853418374,-0.007690628764995,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_B_M_K,D_B_M_K,17,0.6625869806154916,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0188575890792689,-0.0004132325024265,-0.0230565692295249,-0.0046122126526825,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_B_M_C_K,D_B_M_C_K,18,0.6626823441848146,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0187622255099459,-0.0003178689331034,-0.0229612056602019,-0.0045168490833594,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge,False,extended_K,ridge::P_K,P_K,22,0.661970526359566,ridge::D_B_M_P_C_A_K,prevalence,-0.0471404398141587,-0.0237030577969508,-0.0236730234854506,-0.0002356414682426,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::P_K,P_K,22,0.661970526359566,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0194740433351946,-0.0010296867583522,-0.0236730234854506,-0.0052286669086082,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,False,extended_K,ridge::B_P_K,B_P_K,23,0.6576856629831351,ridge::D_B_M_P_C_A_K,prevalence,-0.0514253031905896,-0.0279879211733816,-0.0279578868618814,-0.0045205048446734,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::B_P_K,B_P_K,23,0.6576856629831351,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0237589067116253,-0.0053145501347829,-0.0279578868618814,-0.0095135302850389,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,False,extended_K,ridge::P_C_K,P_C_K,23,0.6612553582464039,ridge::D_B_M_P_C_A_K,prevalence,-0.0478556079273208,-0.0244182259101129,-0.0243881915986126,-0.0009508095814047,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::P_C_K,P_C_K,23,0.6612553582464039,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0201892114483566,-0.0017448548715142,-0.0243881915986126,-0.0059438350217702,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::M_P_K,M_P_K,23,0.6624747283481627,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0189698413465978,-0.0005254847697554,-0.0231688214968538,-0.0047244649200114,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge,False,extended_K,ridge::B_P_C_K,B_P_C_K,24,0.6568999430523016,ridge::D_B_M_P_C_A_K,prevalence,-0.0522110231214232,-0.0287736411042153,-0.0287436067927149,-0.005306224775507,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
