subgroup,model,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
all,P0,1520,853,0.5611842105263158,0.6606246186097116,0.2339267641349458,0.6069046367789143,0.6211904240601227,-0.0796930407733823,1.080387736924288
all,hgb::D_B_M_P_C_A,1520,853,0.5611842105263158,0.729514668268468,0.2603640749802038,0.5451181208926603,0.5653907285996179,0.19092791472540685,0.1365756026393654
all,hgb::D_B_M_P_C_A_K,1520,853,0.5611842105263158,0.7128053035773783,0.2550736894234836,0.562788359630267,0.602663962571508,0.1610955839883721,0.2544853742432383
all,hgb::D_M_P_A,1520,853,0.5611842105263158,0.7357820447890608,0.26402792148630333,0.5312056750054047,0.5652184300682268,0.22046798194895273,0.0707950935319827
all,hgb::D_M_P_A_K,1520,853,0.5611842105263158,0.7239912152580551,0.26071897451750714,0.5456278308676845,0.5929007320500432,0.19248591327369247,0.17071508650079978
all,hgb::H_D_B_M_P_C_A,1520,853,0.5611842105263158,0.6907357562051548,0.24446948082840103,0.5998618510205624,0.6002748179755353,0.07428998047375106,0.458949012213605
all,hgb::H_D_B_M_P_C_A_K,1520,853,0.5611842105263158,0.6706261922429021,0.23746684361454903,0.6238691908442028,0.6514953330675671,0.04805306117502885,0.6218957899333512
all,hgb::H_D_M_P,1520,853,0.5611842105263158,0.6773237255779168,0.24028473018400187,0.6153860350012568,0.6291050931861693,0.0822115092224648,0.5643301330286763
all,hgb::H_D_M_P_A,1520,853,0.5611842105263158,0.7027754309756401,0.24911187644552246,0.5899471131960398,0.5963112443613977,0.11089343392822637,0.367747889865887
all,prevalence,1520,853,0.5611842105263158,0.6856435498450167,0.24625756690847586,0.5,0.5611842105263158,,
all,ridge::D_A_K,1520,853,0.5611842105263158,0.7100384276318275,0.252096572201968,0.5793099933034654,0.6070750491343417,0.13263280545300526,0.313257749337922
all,ridge::D_B,1520,853,0.5611842105263158,0.7009803562324246,0.25018642229815796,0.5651189645505501,0.5891436473084286,0.14752313866430455,0.32325646135350383
all,ridge::D_B_M_P_C_A,1520,853,0.5611842105263158,0.7228282840722543,0.2564386873874337,0.5566076867779475,0.5748236401419914,0.15731671683426665,0.21542513835062466
all,ridge::D_B_M_P_C_A_K,1520,853,0.5611842105263158,0.7091109661737248,0.2511520690997918,0.5855574557387192,0.6117568807909199,0.12797147313102752,0.33128866545345986
all,ridge::H_D,1520,853,0.5611842105263158,0.696335561198437,0.2443954024786482,0.6011317319066141,0.6079220115969909,0.09915729478709413,0.4110314273390901
all,ridge::H_D_B_A,1520,853,0.5611842105263158,0.7098588727184805,0.24648444866638955,0.601496438181847,0.597059623132559,0.08650164121639513,0.3575780089198818
all,ridge::H_D_B_M_P_C_A,1520,853,0.5611842105263158,0.7145134991871509,0.24872877292434106,0.5947647512703202,0.5921152963163497,0.10257128561568427,0.329497159946565
all,ridge::H_D_B_M_P_C_A_K,1520,853,0.5611842105263158,0.6996118363178069,0.24340839899295227,0.6183564138212253,0.6239454984111603,0.09025039275754397,0.4078683167985372
development_shared_id,P0,641,382,0.5959438377535101,0.6350200240745368,0.22148696187343087,0.6442570094402555,0.6775742459495945,-0.025098639092252926,1.444894612094706
development_shared_id,hgb::D_B_M_P_C_A,641,382,0.5959438377535101,0.6807579291847997,0.2377409614082206,0.6010026481230669,0.635612952131938,0.19167700964101891,0.428449651003048
development_shared_id,hgb::D_B_M_P_C_A_K,641,382,0.5959438377535101,0.6541410072236225,0.22769253343888093,0.6455254806040147,0.6880732446120037,0.12109876178171185,0.6707557931425557
development_shared_id,hgb::D_M_P_A,641,382,0.5959438377535101,0.681907396062883,0.23911672231010203,0.6029836867533203,0.644157668786894,0.209332219097438,0.41411972206884046
development_shared_id,hgb::D_M_P_A_K,641,382,0.5959438377535101,0.6618627147792588,0.2322060031484924,0.6305615638076372,0.6813773665389775,0.15490661012266466,0.5996848613116686
development_shared_id,hgb::H_D_B_M_P_C_A,641,382,0.5959438377535101,0.6434273317942633,0.22324204617781185,0.6534092057652268,0.6713939616751625,0.10212586032150499,0.7358572523962854
development_shared_id,hgb::H_D_B_M_P_C_A_K,641,382,0.5959438377535101,0.618741990203627,0.21373142791243527,0.6902706745638684,0.7336279607769571,0.031546067619908184,0.9681186199106708
development_shared_id,hgb::H_D_M_P,641,382,0.5959438377535101,0.6375415233410983,0.2214525465425937,0.6683680688916291,0.6921810630468839,0.12953280780406717,0.811319915090319
development_shared_id,hgb::H_D_M_P_A,641,382,0.5959438377535101,0.6473528964325741,0.22480813626351348,0.6512512886858437,0.6773767650345284,0.12444703342418485,0.6953359738101372
development_shared_id,prevalence,641,382,0.5959438377535101,0.6769473863675266,0.24193202299698707,0.5,0.5959438377535101,,
development_shared_id,ridge::D_A_K,641,382,0.5959438377535101,0.6542130210729417,0.22635085932125562,0.648289838080414,0.6826430699163969,0.09473219584200977,0.6508508385813242
development_shared_id,ridge::D_B,641,382,0.5959438377535101,0.6573575532388864,0.23008818407793993,0.6224706381774444,0.6621459076302472,0.13443725047600477,0.6998445845603085
development_shared_id,ridge::D_B_M_P_C_A,641,382,0.5959438377535101,0.6735283093045933,0.23408521143798983,0.6147385231154865,0.6514812931877068,0.15400073435886177,0.49165066398010476
development_shared_id,ridge::D_B_M_P_C_A_K,641,382,0.5959438377535101,0.6517246426258376,0.22492222734133183,0.6523125593806223,0.6883018351589558,0.09762718295221962,0.6516599897289651
development_shared_id,ridge::H_D,641,382,0.5959438377535101,0.6513014666049959,0.22376591852357133,0.6509480684873356,0.6721875663411715,0.13612404696290853,0.6477438302699193
development_shared_id,ridge::H_D_B_A,641,382,0.5959438377535101,0.6611794886555896,0.22403934749076101,0.6540004851523177,0.667433640967902,0.11943853133542116,0.5552829830556206
development_shared_id,ridge::H_D_B_M_P_C_A,641,382,0.5959438377535101,0.6629686946295994,0.2251976779531548,0.6500030322019851,0.6651178330899432,0.12998315508676833,0.5437608920359235
development_shared_id,ridge::H_D_B_M_P_C_A_K,641,382,0.5959438377535101,0.6416245883800946,0.21675356007147709,0.6791879763083952,0.6948990155690694,0.09333957353583475,0.6596738708094328
development_disjoint_id,P0,879,471,0.5358361774744027,0.6792964560352486,0.2429983377977798,0.5816785312851256,0.5810244792658218,-0.11374721524927148,0.8310644602975442
development_disjoint_id,hgb::D_B_M_P_C_A,879,471,0.5358361774744027,0.7650699239597439,0.27686170387626896,0.5006114441530327,0.5143146501140601,0.1702562823658199,-0.07512280598573355
development_disjoint_id,hgb::D_B_M_P_C_A_K,879,471,0.5358361774744027,0.7555855242403561,0.27504106255901284,0.4965967278631197,0.53197630387803,0.1608521820294393,-0.06280381368209124
development_disjoint_id,hgb::D_M_P_A,879,471,0.5358361774744027,0.7750694734960916,0.2821941088264001,0.4741476208317722,0.5046425985213498,0.1959653525263004,-0.17477072073537703
