algorithm,has_history,domain,rule,best_development_subset,best_development_log_loss,tolerance,chosen_subset,chosen_config,chosen_development_log_loss,chosen_additional_items,model,reference,delta_log_loss,paired_percentile_95_low,paired_percentile_95_high,pointwise_upper95_basic,simultaneous_upper95_basic,bootstrap_se,approx_mde_one_sided80,family_contrasts,bootstrap_reps,noninferior_margin_0.0025,noninferior_margin_0.005,noninferior_margin_0.01,noninferior_margin_0.02,family,selected_evaluation_log_loss,full_evaluation_log_loss
ridge,True,extended_K,one_se,H_D_B_M_P_A_K,0.6292921291184919,0.00868741379274968,H_D_B_A,1.0,0.6362755316368176,6,ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,0.010247036400673606,0.002729836306256257,0.017444428041635224,0.01648085286011693,0.030235863595727344,0.0036353190994656646,0.009039129550805526,127,2000,False,False,False,False,ridge|history=True|extended_K,0.7098588727184805,0.6996118363178069
ridge,True,original_noK,one_se,H_D_B_P_A,0.636039150799616,0.008408262073427918,H_D,1.0,0.6396754472363618,4,ridge::H_D,ridge::H_D_B_M_P_C_A,-0.018177937988714025,-0.02578637838453751,-0.01065730046510443,-0.011604386747294394,0.0005552085738199965,0.003903042840299386,0.00970481790195412,63,2000,True,True,True,True,ridge|history=True|original_noK,0.696335561198437,0.7145134991871509
ridge,False,extended_K,one_se,D_B_P_A_K,0.645554504910448,0.007776895551950317,D_A_K,1.0,0.6495521869548352,16,ridge::D_A_K,ridge::D_B_M_P_C_A_K,0.0009274614581027592,-0.004986712647167869,0.006534448249523532,0.005984756649190089,0.021363063689805683,0.0029840322040937044,0.007419721058474171,127,2000,False,False,False,False,ridge|history=False|extended_K,0.7100384276318275,0.7091109661737248
ridge,False,original_noK,one_se,D_B_P_A,0.654363857240483,0.007429610107301454,D_B,1.0,0.6582120307239033,5,ridge::D_B,ridge::D_B_M_P_C_A,-0.021847927839829875,-0.030402263409642593,-0.013502294862273749,-0.014715924527511883,-0.0022710679019050523,0.0043274481270955956,0.010760090978246538,63,2000,True,True,True,True,ridge|history=False|original_noK,0.7009803562324246,0.7228282840722543
hgb,True,extended_K,one_se,H_D_M_P_C_A_K,0.620817620210149,0.004612385252909294,H_D_M_P_A,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6241806893132597,17,hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,0.03214923873273816,0.022762347656959923,0.041044382507062216,0.03972326919827865,0.05272612547802579,0.00462688157833934,0.011504624727164164,127,2000,False,False,False,False,hgb|history=True|extended_K,0.7027754309756401,0.6706261922429021
hgb,True,original_noK,one_se,H_D_M_P_A,0.6241806893132597,0.0034529906698215797,H_D_M_P,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6263444622412933,16,hgb::H_D_M_P,hgb::H_D_B_M_P_C_A,-0.013412030627237973,-0.02192770067999574,-0.0052158311629389165,-0.006309586251692351,0.005493263031230046,0.0043377713070757605,0.010785759305747886,63,2000,False,False,True,True,hgb|history=True|original_noK,0.6773237255779168,0.6907357562051548
hgb,False,extended_K,one_se,D_M_P_C_A_K,0.6317969039258379,0.0043833481682089654,D_M_P_A_K,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6344975802563864,28,hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K,0.011185911680676763,0.005046246946609335,0.017549097911890323,0.01660595964289827,0.03257444206384509,0.0032513298521135822,0.008084349940552894,127,2000,False,False,False,False,hgb|history=False|extended_K,0.7239912152580551,0.7128053035773783
hgb,False,original_noK,one_se,D_M_P_C_A,0.6379512231708448,0.003915096035708597,D_M_P_A,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.640925623536283,17,hgb::D_M_P_A,hgb::D_B_M_P_C_A,0.0062673765205928135,-0.0012766253442028541,0.014304292297321075,0.012602551967582986,0.027767194023768215,0.003941942550541182,0.009801541053552028,63,2000,False,False,False,False,hgb|history=False|original_noK,0.7357820447890608,0.729514668268468
