model,algorithm,has_history,domain,best_config,development_oof_log_loss,encoded_features,raw_items,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
ridge::itemized_H_D_B_M_P_C_A_K,ridge,True,extended_K,1.0,0.6310444090702303,61,31,1520,853,0.5611842105263158,0.7185705991207166,0.25168940078844965,0.6015377422660299,0.6202099354779227,0.12676844937849507,0.32223459360692003
ridge::itemized_H_D_B_M_P_C_A,ridge,True,original_noK,1.0,0.6389745514285985,50,20,1520,853,0.5611842105263158,0.7180427315908263,0.25047137020525456,0.5927250325599216,0.5953859945947936,0.11649636106069797,0.3081590964403486
ridge::itemized_D_B_M_P_C_A_K,ridge,False,extended_K,1.0,0.6445273677557858,60,30,1520,853,0.5611842105263158,0.738238886183553,0.26362171089999326,0.5575655900068723,0.6028320832188327,0.1749143635940956,0.20510447004323562
ridge::itemized_D_B_M_P_C_A,ridge,False,original_noK,0.1,0.6557665733244317,49,19,1520,853,0.5611842105263158,0.7024562970574852,0.2517106257395792,0.556432803527896,0.5809533790912571,0.12518755175880508,0.3240496291128018
hgb::itemized_H_D_B_M_P_C_A_K,hgb,True,extended_K,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6171988538382888,61,31,1520,853,0.5611842105263158,0.6782764698873722,0.2416357590447474,0.6073853460139801,0.6541028789425797,0.07451863068293277,0.5540250018947761
hgb::itemized_H_D_B_M_P_C_A,hgb,True,original_noK,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.628142138220236,50,20,1520,853,0.5611842105263158,0.6999540924252967,0.24817565845947512,0.5862130482238365,0.5839686761762848,0.09405993517781489,0.3835140209305233
hgb::itemized_D_B_M_P_C_A_K,hgb,False,extended_K,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6281077707782968,60,30,1520,853,0.5611842105263158,0.7104926119881919,0.2557522303822935,0.5563668927552636,0.6117145381085551,0.16316935836481458,0.25948265775252344
hgb::itemized_D_B_M_P_C_A,hgb,False,original_noK,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6392621299213077,49,19,1520,853,0.5611842105263158,0.7292132956472346,0.26083085742388595,0.5306836616861558,0.5524770470232115,0.20537168286760485,0.09541686091760235
