model,subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se,encoded_features,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
ridge::H_M_P,H_M_P,True,3.0,13,12,3,ridge,0.1,0.6625724600188355,0.0028824417926408,3,1520,853,0.5611842105263158,0.6600336679303875,0.2336420383731312,0.6160855680014623,0.6246702707684475,-0.0903149363702584,1.1236418281626783
ridge_fixed::H_M_P,H_M_P,True,3.0,13,12,3,ridge_fixed,0.1,0.6625724600188355,0.0028824417926408773,3,1520,853,0.5611842105263158,0.6600336679303875,0.2336420383731312,0.6160855680014623,0.6246702707684475,-0.0903149363702584,1.1236418281626783
ridge::H_D_M_P,H_D_M_P,True,4.0,17,16,7,ridge,1.0,0.6398515673596114,0.0091729148971011,34,1520,853,0.5611842105263158,0.7008698443347471,0.2465756455780853,0.5947146590831196,0.6031002849251121,0.1134881146379776,0.3786271965002426
ridge_fixed::H_D_M_P,H_D_M_P,True,4.0,17,16,7,ridge_fixed,0.1,0.6429854339986559,0.005984449186904017,34,1520,853,0.5611842105263158,0.6707238606189796,0.2378378716474355,0.6108584043265589,0.6236682330790343,0.0342972237114772,0.6580332008090622
ridge::H_B_M_P,H_B_M_P,True,4.0,14,13,4,ridge,0.1,0.657963803376312,0.0041018511995914,4,1520,853,0.5611842105263158,0.6590211712988748,0.2331460153937293,0.6162806638884544,0.631606617859369,-0.0585548058437391,1.0052821064939157
ridge_fixed::H_B_M_P,H_B_M_P,True,4.0,14,13,4,ridge_fixed,0.1,0.657963803376312,0.00410185119959144,4,1520,853,0.5611842105263158,0.6590211712988748,0.2331460153937293,0.6162806638884544,0.631606617859369,-0.0585548058437391,1.0052821064939157
ridge::H_D_B_M_P,H_D_B_M_P,True,5.0,18,17,8,ridge,1.0,0.6375985212431627,0.0080188779924883,35,1520,853,0.5611842105263158,0.6971059702039143,0.2449189982847293,0.6012828872785179,0.6083438897055604,0.1035395280788551,0.4082721698563162
ridge_fixed::H_D_B_M_P,H_D_B_M_P,True,5.0,18,17,8,ridge_fixed,0.1,0.6401725690886176,0.005036231097414445,35,1520,853,0.5611842105263158,0.6683199722866878,0.2366947246354406,0.6153034268328907,0.628160007135703,0.0311146720328183,0.6646616622570554
ridge::H_C,H_C,True,2.0,2,1,2,ridge,0.1,0.6624391851158958,0.0030620642948569,5,1520,853,0.5611842105263158,0.6602863066610634,0.2337569393922677,0.6114480860390439,0.6265359210436292,-0.0832754643630437,1.110601191684664
ridge_fixed::H_C,H_C,True,2.0,2,1,2,ridge_fixed,0.1,0.6624391851158958,0.003062064294856948,5,1520,853,0.5611842105263158,0.6602863066610634,0.2337569393922677,0.6114480860390439,0.6265359210436292,-0.0832754643630437,1.110601191684664
ridge::H_D_C,H_D_C,True,3.0,6,5,6,ridge,1.0,0.6411795164486124,0.0085148494045774,36,1520,853,0.5611842105263158,0.6959838922065951,0.2441834564377332,0.6026951354334555,0.6082916523704776,0.0999977182627527,0.412844172555271
ridge_fixed::H_D_C,H_D_C,True,3.0,6,5,6,ridge_fixed,0.1,0.643684258565303,0.005271593017127144,36,1520,853,0.5611842105263158,0.6680511603354788,0.2365610715907722,0.6148473242862741,0.6234696483756127,0.0228001157721744,0.6868199446249724
ridge::H_B_C,H_B_C,True,3.0,3,2,3,ridge,0.1,0.6581911682912668,0.0043536933549433,6,1520,853,0.5611842105263158,0.6567785122587828,0.2320465297820072,0.6246188160316091,0.6337360676212548,-0.0707214806346339,1.045773182923923
ridge_fixed::H_B_C,H_B_C,True,3.0,3,2,3,ridge_fixed,0.1,0.6581911682912668,0.0043536933549433825,6,1520,853,0.5611842105263158,0.6567785122587828,0.2320465297820072,0.6246188160316091,0.6337360676212548,-0.0707214806346339,1.045773182923923
ridge::H_D_B_C,H_D_B_C,True,4.0,7,6,7,ridge,1.0,0.6393410724180268,0.0070352309280263,37,1520,853,0.5611842105263158,0.6908208436129027,0.2418320263233987,0.6120641320605817,0.6166059760604579,0.0856317686354403,0.4507242752537979
ridge_fixed::H_D_B_C,H_D_B_C,True,4.0,7,6,7,ridge_fixed,0.1,0.6414085258022352,0.004012518847980983,37,1520,853,0.5611842105263158,0.6636390905340731,0.2344364141140837,0.6238577663102798,0.6314818170678411,0.011409197463861,0.7136257103800563
ridge::H_M_C,H_M_C,True,3.0,3,2,3,ridge,0.1,0.6625805616898517,0.00286589265851,6,1520,853,0.5611842105263158,0.658167884322826,0.2327529409569626,0.6332346722301218,0.6459141929714532,-0.0974012212307818,1.1550148717250437
ridge_fixed::H_M_C,H_M_C,True,3.0,3,2,3,ridge_fixed,0.1,0.6625805616898517,0.00286589265851006,6,1520,853,0.5611842105263158,0.658167884322826,0.2327529409569626,0.6332346722301218,0.6459141929714532,-0.0974012212307818,1.1550148717250437
ridge::H_D_M_C,H_D_M_C,True,4.0,7,6,7,ridge,1.0,0.641085194221472,0.0085499000814104,37,1520,853,0.5611842105263158,0.69943445071303,0.2457756747032921,0.5964854618411779,0.6035168923528778,0.1075976810563281,0.3897053844144756
ridge_fixed::H_D_M_C,H_D_M_C,True,4.0,7,6,7,ridge_fixed,0.1,0.6437231904302149,0.005274281549186918,37,1520,853,0.5611842105263158,0.6690420117593091,0.2370175059538818,0.6128067267655739,0.6219796152487284,0.0258448292127884,0.6756932339972338
ridge::H_B_M_C,H_B_M_C,True,4.0,4,3,4,ridge,0.1,0.6583859138538867,0.0042830829798941,7,1520,853,0.5611842105263158,0.6562303994931902,0.2317910485791964,0.6343068207982762,0.6461092444922301,-0.0738677868020876,1.0551053779824986
ridge_fixed::H_B_M_C,H_B_M_C,True,4.0,4,3,4,ridge_fixed,0.1,0.6583859138538867,0.004283082979894178,7,1520,853,0.5611842105263158,0.6562303994931902,0.2317910485791964,0.6343068207982762,0.6461092444922301,-0.0738677868020876,1.0551053779824986
ridge::H_D_B_M_C,H_D_B_M_C,True,5.0,8,7,8,ridge,1.0,0.6392791779703766,0.0070723950334699,38,1520,853,0.5611842105263158,0.6952109364585862,0.2438760437208117,0.6047199143687242,0.6099969514900534,0.0954691147182332,0.4218017848902319
ridge_fixed::H_D_B_M_C,H_D_B_M_C,True,5.0,8,7,8,ridge_fixed,0.1,0.6413817901804587,0.0040428982304119,38,1520,853,0.5611842105263158,0.6659889708777176,0.2355175493673223,0.6192941044132095,0.6280215721904795,0.0190702239080749,0.689557283879467
ridge::H_P_C,H_P_C,True,3.0,13,12,3,ridge,0.1,0.6627999109852467,0.0032214754094109,6,1520,853,0.5611842105263158,0.6616781456941965,0.2344004893345186,0.5964186722582437,0.6022850280765768,-0.0726494381651656,1.0835951727577209
ridge_fixed::H_P_C,H_P_C,True,3.0,13,12,3,ridge_fixed,0.1,0.6627999109852467,0.003221475409410987,6,1520,853,0.5611842105263158,0.6616781456941965,0.2344004893345186,0.5964186722582437,0.6022850280765768,-0.0726494381651656,1.0835951727577209
