model,subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se,encoded_features,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
ridge::H_D_M_A_K,H_D_M_A_K,True,5.0,18,17,8,ridge,1.0,0.6312734488152584,0.0094085911490808,35,1520,853,0.5611842105263158,0.7026708437617717,0.2445649640309412,0.6146654105538086,0.6188665298840039,0.091503303661745,0.3919768931055475
ridge_fixed::H_D_M_A_K,H_D_M_A_K,True,5.0,18,17,8,ridge_fixed,0.1,0.6341801402406806,0.006556936530136924,35,1520,853,0.5611842105263158,0.669911124300147,0.2362209997669251,0.6283607902965282,0.6414530995429755,0.0226639057583841,0.6145383898250081
ridge::H_B_M_A_K,H_B_M_A_K,True,5.0,15,14,5,ridge,0.1,0.6436333865037757,0.0033100199151031,5,1520,853,0.5611842105263158,0.6521251813472393,0.2295609500380914,0.6449000001757621,0.6748113113978217,-0.0417636512905838,0.8516207283128393
ridge_fixed::H_B_M_A_K,H_B_M_A_K,True,5.0,15,14,5,ridge_fixed,0.1,0.6436333865037757,0.0033100199151031655,5,1520,853,0.5611842105263158,0.6521251813472393,0.2295609500380914,0.6449000001757621,0.6748113113978217,-0.0417636512905838,0.8516207283128393
ridge::H_D_B_M_A_K,H_D_B_M_A_K,True,6.0,19,18,9,ridge,1.0,0.6297690531788611,0.0078393063664925,36,1520,853,0.5611842105263158,0.6989440205138234,0.2427266910815292,0.6197502069598261,0.6209328408225947,0.0824973147698139,0.413489369404357
ridge_fixed::H_D_B_M_A_K,H_D_B_M_A_K,True,6.0,19,18,9,ridge_fixed,0.1,0.6322818140415726,0.005216398571787092,36,1520,853,0.5611842105263158,0.6673359016048794,0.2347408905465168,0.6332504908155535,0.6415975072319949,0.0174290342885073,0.6260218720584712
ridge::H_P_A_K,H_P_A_K,True,4.0,24,23,4,ridge,0.1,0.6469364767792163,0.0032008950831659,4,1520,853,0.5611842105263158,0.6517969705723333,0.2297836613673495,0.6452734945540126,0.6885278380795103,-0.0514794755288952,0.9057409738540896
ridge_fixed::H_P_A_K,H_P_A_K,True,4.0,24,23,4,ridge_fixed,0.1,0.6469364767792163,0.0032008950831659494,4,1520,853,0.5611842105263158,0.6517969705723333,0.2297836613673495,0.6452734945540126,0.6885278380795103,-0.0514794755288952,0.9057409738540896
ridge::H_D_P_A_K,H_D_P_A_K,True,5.0,28,27,8,ridge,1.0,0.6312895096248884,0.0100668372886909,35,1520,853,0.5611842105263158,0.6979035659146017,0.2428047806697868,0.6200577905654441,0.6264594473693553,0.0884312972075535,0.4147305597030143
ridge_fixed::H_D_P_A_K,H_D_P_A_K,True,5.0,28,27,8,ridge_fixed,0.1,0.6340304105808952,0.007136876393259217,35,1520,853,0.5611842105263158,0.6672996964032644,0.2353050630492676,0.6312011051918355,0.6469959558767076,0.0229632033640813,0.6345978395353206
ridge::H_B_P_A_K,H_B_P_A_K,True,5.0,25,24,5,ridge,0.1,0.643429881963482,0.002804803182213,5,1520,853,0.5611842105263158,0.6504578081230348,0.2289394299167778,0.6473369411425589,0.6791019538320869,-0.043326964122899,0.8745439423573655
ridge_fixed::H_B_P_A_K,H_B_P_A_K,True,5.0,25,24,5,ridge_fixed,0.1,0.643429881963482,0.0028048031822130374,5,1520,853,0.5611842105263158,0.6504578081230348,0.2289394299167778,0.6473369411425589,0.6791019538320869,-0.043326964122899,0.8745439423573655
ridge::H_D_B_P_A_K,H_D_B_P_A_K,True,6.0,29,28,9,ridge,1.0,0.6294674622760528,0.0085921846907195,36,1520,853,0.5611842105263158,0.6936713069461021,0.2408916210776573,0.6257551177517923,0.6300149266295988,0.0803630254613145,0.4384316470757344
ridge_fixed::H_D_B_P_A_K,H_D_B_P_A_K,True,6.0,29,28,9,ridge_fixed,0.1,0.6317219650002734,0.005821769835782896,36,1520,853,0.5611842105263158,0.6642320308355043,0.2337125919187842,0.6369898286495673,0.6481637447428885,0.0190956402847171,0.6474965687594854
ridge::H_M_P_A_K,H_M_P_A_K,True,5.0,25,24,5,ridge,0.1,0.6468966961386979,0.0033239902409738,5,1520,853,0.5611842105263158,0.6542679690447977,0.230953486126167,0.6406887412097,0.6851952159445103,-0.0389633572614701,0.8747243314348445
ridge_fixed::H_M_P_A_K,H_M_P_A_K,True,5.0,25,24,5,ridge_fixed,0.1,0.6468966961386979,0.0033239902409738387,5,1520,853,0.5611842105263158,0.6542679690447977,0.230953486126167,0.6406887412097,0.6851952159445103,-0.0389633572614701,0.8747243314348445
ridge::H_D_M_P_A_K,H_D_M_P_A_K,True,6.0,29,28,9,ridge,1.0,0.6312111678752893,0.0101605855743445,36,1520,853,0.5611842105263158,0.7029852720717704,0.2450860059510131,0.6132971029139592,0.6211332601239413,0.0982287044193811,0.388005520112999
ridge_fixed::H_D_M_P_A_K,H_D_M_P_A_K,True,6.0,29,28,9,ridge_fixed,0.1,0.6339402655915776,0.007208534843650531,36,1520,853,0.5611842105263158,0.6708531184535861,0.2369122011610548,0.625827180196537,0.6432916264797546,0.0331073832650415,0.6064087022579883
ridge::H_B_M_P_A_K,H_B_M_P_A_K,True,6.0,26,25,6,ridge,0.1,0.6432181679399898,0.0029485411585491,6,1520,853,0.5611842105263158,0.653799909576714,0.2305103585317934,0.6414243054322781,0.674561363041114,-0.0281769839200937,0.8366779670305277
ridge_fixed::H_B_M_P_A_K,H_B_M_P_A_K,True,6.0,26,25,6,ridge_fixed,0.1,0.6432181679399898,0.002948541158549165,6,1520,853,0.5611842105263158,0.653799909576714,0.2305103585317934,0.6414243054322781,0.674561363041114,-0.0281769839200937,0.8366779670305277
ridge::H_D_B_M_P_A_K,H_D_B_M_P_A_K,True,7.0,30,29,10,ridge,1.0,0.6292921291184919,0.0086874137927496,37,1520,853,0.5611842105263158,0.6990816570421533,0.2433204910487976,0.6186191781014534,0.6247415009313724,0.0907460082266492,0.4103266295234491
ridge_fixed::H_D_B_M_P_A_K,H_D_B_M_P_A_K,True,7.0,30,29,10,ridge_fixed,0.1,0.6315129423282788,0.0059159509956906815,37,1520,853,0.5611842105263158,0.668390723316977,0.2355890665831604,0.6311457401428242,0.6451391382664913,0.0303109295679141,0.6160938567616413
ridge::H_C_A_K,H_C_A_K,True,4.0,14,13,4,ridge,0.1,0.6474531971120571,0.003233553459749,7,1520,853,0.5611842105263158,0.6501716809860897,0.2289044738587261,0.6493107490803249,0.6863302275830185,-0.061240308200413,0.9167151521713064
ridge_fixed::H_C_A_K,H_C_A_K,True,4.0,14,13,4,ridge_fixed,0.1,0.6474531971120571,0.0032335534597490107,7,1520,853,0.5611842105263158,0.6501716809860897,0.2289044738587261,0.6493107490803249,0.6863302275830185,-0.061240308200413,0.9167151521713064
ridge::H_D_C_A_K,H_D_C_A_K,True,5.0,18,17,8,ridge,1.0,0.6329925665767692,0.0093326487290982,38,1520,853,0.5611842105263158,0.6962479760099048,0.2415786835873868,0.6235607284282829,0.6252965432123184,0.0768494066869719,0.4261359357867254
ridge_fixed::H_D_C_A_K,H_D_C_A_K,True,5.0,18,17,8,ridge_fixed,0.1,0.6352022899529084,0.006490931773654646,38,1520,853,0.5611842105263158,0.6656476236205365,0.2342317748462992,0.6348095002908861,0.6438844838288535,0.0092987257522691,0.6485720384933369
ridge::H_B_C_A_K,H_B_C_A_K,True,5.0,15,14,5,ridge,0.1,0.644503843674367,0.0034248366813582,8,1520,853,0.5611842105263158,0.6482735925433976,0.2277292302015299,0.6525966207986276,0.6781289703052212,-0.0584777937945022,0.893908424460806
ridge_fixed::H_B_C_A_K,H_B_C_A_K,True,5.0,15,14,5,ridge_fixed,0.1,0.644503843674367,0.0034248366813582694,8,1520,853,0.5611842105263158,0.6482735925433976,0.2277292302015299,0.6525966207986276,0.6781289703052212,-0.0584777937945022,0.893908424460806
ridge::H_D_B_C_A_K,H_D_B_C_A_K,True,6.0,19,18,9,ridge,1.0,0.6317384898901335,0.0076873093177268,39,1520,853,0.5611842105263158,0.691733433507991,0.2394413820935904,0.629671096456461,0.6277869303146463,0.0666209361972202,0.451340613434405
ridge_fixed::H_D_B_C_A_K,H_D_B_C_A_K,True,6.0,19,18,9,ridge_fixed,0.1,0.6334690257428216,0.005126724101089546,39,1520,853,0.5611842105263158,0.6621077170800765,0.2323446734080496,0.6413188481960661,0.6452892152296792,0.0017790713368025,0.6656938432708706
ridge::H_M_C_A_K,H_M_C_A_K,True,5.0,15,14,5,ridge,0.1,0.6473691637561733,0.0033691580908782,8,1520,853,0.5611842105263158,0.6531209313155801,0.2302892937954385,0.6431415007619286,0.6823499344685888,-0.0471956068949524,0.8801121110123313
ridge_fixed::H_M_C_A_K,H_M_C_A_K,True,5.0,15,14,5,ridge_fixed,0.1,0.6473691637561733,0.0033691580908782105,8,1520,853,0.5611842105263158,0.6531209313155801,0.2302892937954385,0.6431415007619286,0.6823499344685888,-0.0471956068949524,0.8801121110123313
ridge::H_D_M_C_A_K,H_D_M_C_A_K,True,6.0,19,18,9,ridge,1.0,0.6326931392750783,0.0094839202412393,39,1520,853,0.5611842105263158,0.7026930299912642,0.2445125000390726,0.6147445034809677,0.6184884009400331,0.0906008909298164,0.3921033097990803
ridge_fixed::H_D_M_C_A_K,H_D_M_C_A_K,True,6.0,19,18,9,ridge_fixed,0.1,0.6349483494937177,0.0066152331684297275,39,1520,853,0.5611842105263158,0.6700593780923504,0.2362276068127129,0.6283309107462681,0.6404065616721888,0.0232088676046318,0.613065458246791
ridge::H_B_M_C_A_K,H_B_M_C_A_K,True,6.0,16,15,6,ridge,0.1,0.644223463114376,0.0035753935096952,9,1520,853,0.5611842105263158,0.6521105854275352,0.2295128483114691,0.6448982425551586,0.6723873732034362,-0.0404590056748638,0.8502666084739327
ridge_fixed::H_B_M_C_A_K,H_B_M_C_A_K,True,6.0,16,15,6,ridge_fixed,0.1,0.644223463114376,0.003575393509695267,9,1520,853,0.5611842105263158,0.6521105854275352,0.2295128483114691,0.6448982425551586,0.6723873732034362,-0.0404590056748638,0.8502666084739327
ridge::H_D_B_M_C_A_K,H_D_B_M_C_A_K,True,7.0,20,19,10,ridge,1.0,0.6312491785290301,0.007906917175842,40,1520,853,0.5611842105263158,0.698737874564083,0.2426088756028837,0.6202845236232998,0.6210363771361053,0.081072409776046,0.4148255586936571
ridge_fixed::H_D_B_M_C_A_K,H_D_B_M_C_A_K,True,7.0,20,19,10,ridge_fixed,0.1,0.6330394905085134,0.005321330154719692,40,1520,853,0.5611842105263158,0.6675434445578637,0.2347684104458576,0.6335123762854797,0.6408175359952161,0.0181082321395336,0.6239829397188907
ridge::H_P_C_A_K,H_P_C_A_K,True,5.0,25,24,5,ridge,0.1,0.6475160924368945,0.0032296107180436,8,1520,853,0.5611842105263158,0.6517753895430212,0.2297204382006849,0.6459167836949052,0.6870352681433554,-0.0501211956629657,0.9038182759001456
ridge_fixed::H_P_C_A_K,H_P_C_A_K,True,5.0,25,24,5,ridge_fixed,0.1,0.6475160924368945,0.0032296107180436254,8,1520,853,0.5611842105263158,0.6517753895430212,0.2297204382006849,0.6459167836949052,0.6870352681433554,-0.0501211956629657,0.9038182759001456
ridge::H_D_P_C_A_K,H_D_P_C_A_K,True,6.0,29,28,9,ridge,1.0,0.6327462080928837,0.0101056268087689,39,1520,853,0.5611842105263158,0.6981684182958569,0.242786544650502,0.6201140344247571,0.625758747414932,0.0876964924567815,0.4134959371272576
ridge_fixed::H_D_P_C_A_K,H_D_P_C_A_K,True,6.0,29,28,9,ridge_fixed,0.1,0.634823249808919,0.007138318995400441,39,1520,853,0.5611842105263158,0.6674679378135926,0.2353035366263142,0.6313452300813251,0.6456081473030831,0.0225779117375483,0.6331284616386521
ridge::H_B_P_C_A_K,H_B_P_C_A_K,True,6.0,26,25,6,ridge,0.1,0.6440360888197865,0.0029589874400259,9,1520,853,0.5611842105263158,0.6503700645058986,0.2288427006475356,0.647400215484286,0.6770197783245913,-0.0427049145959605,0.8744464444979533
ridge_fixed::H_B_P_C_A_K,H_B_P_C_A_K,True,6.0,26,25,6,ridge_fixed,0.1,0.6440360888197865,0.0029589874400259425,9,1520,853,0.5611842105263158,0.6503700645058986,0.2288427006475356,0.647400215484286,0.6770197783245913,-0.0427049145959605,0.8744464444979533
ridge::H_D_B_P_C_A_K,H_D_B_P_C_A_K,True,7.0,30,29,10,ridge,1.0,0.630903105194864,0.0086379122361116,40,1520,853,0.5611842105263158,0.693848164905966,0.2408437848241238,0.6259651534139143,0.6294136439755156,0.0796239939523043,0.4376529243422599
ridge_fixed::H_D_B_P_C_A_K,H_D_B_P_C_A_K,True,7.0,30,29,10,ridge_fixed,0.1,0.6325058465213825,0.005838370822778305,40,1520,853,0.5611842105263158,0.6644266127232892,0.2337144947804437,0.6373914449574742,0.6471567470640598,0.0189548623366919,0.6457204575588328
ridge::H_M_P_C_A_K,H_M_P_C_A_K,True,6.0,26,25,6,ridge,0.1,0.6474698579100036,0.0033778486468063,9,1520,853,0.5611842105263158,0.6542957330703671,0.2309184000175017,0.641120237067867,0.6836126135378033,-0.0380027018410572,0.8725586512376643
ridge_fixed::H_M_P_C_A_K,H_M_P_C_A_K,True,6.0,26,25,6,ridge_fixed,0.1,0.6474698579100036,0.0033778486468063985,9,1520,853,0.5611842105263158,0.6542957330703671,0.2309184000175017,0.641120237067867,0.6836126135378033,-0.0380027018410572,0.8725586512376643
ridge::H_D_M_P_C_A_K,H_D_M_P_C_A_K,True,7.0,30,29,10,ridge,1.0,0.6326357923202772,0.0101939049935915,40,1520,853,0.5611842105263158,0.7034613200262488,0.2451738437687293,0.6128005750934615,0.6200672965914127,0.0979391564022226,0.3857970895792959
ridge_fixed::H_D_M_P_C_A_K,H_D_M_P_C_A_K,True,7.0,30,29,10,ridge_fixed,0.1,0.6347117332340357,0.007221632247535591,40,1520,853,0.5611842105263158,0.6709702843373756,0.2369101964257933,0.6259598805521038,0.6425702336270088,0.0334741080586853,0.6051848158712598
ridge::H_B_M_P_C_A_K,H_B_M_P_C_A_K,True,7.0,27,26,7,ridge,0.1,0.643812892448034,0.0031460930326536,10,1520,853,0.5611842105263158,0.6537133462576045,0.2304223054869784,0.6417143128318606,0.6732773201098027,-0.0278894384983787,0.8367034124106341
ridge_fixed::H_B_M_P_C_A_K,H_B_M_P_C_A_K,True,7.0,27,26,7,ridge_fixed,0.1,0.643812892448034,0.0031460930326536614,10,1520,853,0.5611842105263158,0.6537133462576045,0.2304223054869784,0.6417143128318606,0.6732773201098027,-0.0278894384983787,0.8367034124106341
ridge::H_D_B_M_P_C_A_K,H_D_B_M_P_C_A_K,True,8.0,31,30,11,ridge,1.0,0.6307238544876694,0.0087380920386587,41,1520,853,0.5611842105263158,0.6996118363178069,0.2434083989929522,0.6183564138212253,0.6239454984111603,0.0902503927575439,0.4078683167985372
ridge_fixed::H_D_B_M_P_C_A_K,H_D_B_M_P_C_A_K,True,8.0,31,30,11,ridge_fixed,0.1,0.6322666290581763,0.005940579690889905,41,1520,853,0.5611842105263158,0.668513811583723,0.2355773628554859,0.6311413460913153,0.644076451761448,0.0303698462548562,0.6149458370839992
ridge::NONE,NONE,False,0.0,0,0,0,ridge,0.001,0.6853643289188563,0.0,0,1520,853,0.5611842105263158,0.6856435498450167,0.2462575669084758,0.5,0.5611842105263158,,
ridge_fixed::NONE,NONE,False,0.0,0,0,0,ridge_fixed,0.1,0.6853643289188563,0.0,0,1520,853,0.5611842105263158,0.6856435498450167,0.2462575669084758,0.5,0.5611842105263158,,
ridge::D,D,False,1.0,4,4,4,ridge,1.0,0.6621656516928427,0.0087952117062296,31,1520,853,0.5611842105263158,0.7106611301987357,0.255033793709848,0.5383750094472107,0.5741672182055861,0.1885442066048283,0.1922415419083337
ridge_fixed::D,D,False,1.0,4,4,4,ridge_fixed,0.1,0.6642470839763597,0.005903379678140702,31,1520,853,0.5611842105263158,0.6868493066876922,0.2465010714251482,0.5510140592072077,0.5921168134450778,0.1153489979352724,0.4715995073618803
ridge::B,B,False,1.0,1,1,1,ridge,0.1,0.6777381954029948,0.0027598271537739,1,1520,853,0.5611842105263158,0.677439794026549,0.2422015180703603,0.5628964532973841,0.5956643760292615,-0.0221305507739392,1.025536456226468
ridge_fixed::B,B,False,1.0,1,1,1,ridge_fixed,0.1,0.6777381954029948,0.0027598271537739396,1,1520,853,0.5611842105263158,0.677439794026549,0.2422015180703603,0.5628964532973841,0.5956643760292615,-0.0221305507739392,1.025536456226468
ridge::D_B,D_B,False,2.0,5,5,5,ridge,1.0,0.6582120307239033,0.0065728253624821,32,1520,853,0.5611842105263158,0.7009803562324246,0.2501864222981579,0.5651189645505501,0.5891436473084286,0.1475231386643045,0.3232564613535038
ridge_fixed::D_B,D_B,False,2.0,5,5,5,ridge_fixed,0.1,0.6597931704659658,0.003674392010339574,32,1520,853,0.5611842105263158,0.6782610561877807,0.2422421344142411,0.5803188675298927,0.6096595183168192,0.0689283752900741,0.6253720951435282
ridge::M,M,False,1.0,1,1,1,ridge,0.01,0.6852087154572225,0.0005247743680979,1,1520,853,0.5611842105263158,0.6808909327175335,0.2439190031165535,0.6006571743436605,0.6230251197874577,-1.1307286654261226,5.442353274457143
ridge_fixed::M,M,False,1.0,1,1,1,ridge_fixed,0.1,0.6852752271797462,0.0007093353587181194,1,1520,853,0.5611842105263158,0.6799469663559442,0.2434549421926383,0.6006571743436605,0.6230251197874577,-0.8767336338257183,4.428719973149578
ridge::D_M,D_M,False,2.0,5,5,5,ridge,1.0,0.6623492629583634,0.0086084318834789,32,1520,853,0.5611842105263158,0.7073804956534814,0.253483544872236,0.5454793119266861,0.5792830093746903,0.1776265999180432,0.2284594744178823
ridge_fixed::D_M,D_M,False,2.0,5,5,5,ridge_fixed,0.1,0.6643291499937599,0.0057925157834289856,32,1520,853,0.5611842105263158,0.6826358436694001,0.2444739145136846,0.5639009334723026,0.6000023963462175,0.0896270131963793,0.5638888521223349
ridge::B_M,B_M,False,2.0,2,2,2,ridge,0.1,0.6779583126099942,0.0028253301913745,2,1520,853,0.5611842105263158,0.6742810892764769,0.2406581645161805,0.6035080349625891,0.6294283855565694,-0.0679911697540708,1.191562717294468
ridge_fixed::B_M,B_M,False,2.0,2,2,2,ridge_fixed,0.1,0.6779583126099942,0.00282533019137459,2,1520,853,0.5611842105263158,0.6742810892764769,0.2406581645161805,0.6035080349625891,0.6294283855565694,-0.0679911697540708,1.191562717294468
ridge::D_B_M,D_B_M,False,3.0,6,6,6,ridge,1.0,0.6585610424617269,0.0064275175481053,33,1520,853,0.5611842105263158,0.7001204632134115,0.249794450901,0.5672553523941429,0.5910011291769512,0.1448023285046011,0.3327970144545495
ridge_fixed::D_B_M,D_B_M,False,3.0,6,6,6,ridge_fixed,0.1,0.6600077063156143,0.0035933861769522923,33,1520,853,0.5611842105263158,0.6765270147953751,0.2414078102522377,0.5858931612739937,0.6136972074967267,0.0600468935878972,0.656131039301744
ridge::P,P,False,1.0,11,11,1,ridge,0.001,0.6854781554910176,0.0001389704960634,1,1520,853,0.5611842105263158,0.6860368493654568,0.2464511058175877,0.4380684804139547,0.5159269711668453,7.792708766801948,-30.18932320410345
ridge_fixed::P,P,False,1.0,11,11,1,ridge_fixed,0.1,0.6859515258183099,0.0006605557767461625,1,1520,853,0.5611842105263158,0.6870789281175402,0.2469632989576194,0.4380684804139547,0.5159269711668453,2.3905777084995266,-8.621692119320949
ridge::D_P,D_P,False,2.0,15,15,5,ridge,1.0,0.6622738696105736,0.0095494272403577,32,1520,853,0.5611842105263158,0.7143852356982644,0.2567184200352806,0.5332770308866669,0.5715230659028445,0.1995532648856285,0.15868867431537
ridge_fixed::D_P,D_P,False,2.0,15,15,5,ridge_fixed,0.1,0.6643928328248682,0.006480708058142,32,1520,853,0.5611842105263158,0.6899636686563089,0.24797339694536,0.5467931333278261,0.5890711926691994,0.1358531651325579,0.4049596506193357
ridge::B_P,B_P,False,2.0,12,12,2,ridge,0.1,0.677878585011541,0.0026105620560542,2,1520,853,0.5611842105263158,0.6807002634376358,0.2437929383505737,0.5363836253034092,0.582419371552261,0.0412597787674817,0.7948962012322748
ridge_fixed::B_P,B_P,False,2.0,12,12,2,ridge_fixed,0.1,0.677878585011541,0.0026105620560542744,2,1520,853,0.5611842105263158,0.6807002634376358,0.2437929383505737,0.5363836253034092,0.582419371552261,0.0412597787674817,0.7948962012322748
ridge::D_B_P,D_B_P,False,3.0,16,16,6,ridge,1.0,0.6577464526304969,0.0077391949362472,33,1520,853,0.5611842105263158,0.7063264572501596,0.2526164174101031,0.5591790857209145,0.5870696797091138,0.1642333159103076,0.2776274767454304
ridge_fixed::D_B_P,D_B_P,False,3.0,16,16,6,ridge_fixed,0.1,0.659277895204939,0.004688212614429893,33,1520,853,0.5611842105263158,0.6828081660454275,0.2444313921640622,0.5726354290615536,0.6066707146204431,0.0972561696566854,0.5416926435914016
ridge::M_P,M_P,False,2.0,12,12,2,ridge,0.001,0.685357518858799,0.0001472558837395,2,1520,853,0.5611842105263158,0.6842669716030487,0.2455794439927272,0.574608358189018,0.6039241889771692,-2.4104262821763545,10.589397671159986
ridge_fixed::M_P,M_P,False,2.0,12,12,2,ridge_fixed,0.1,0.6857900224338801,0.0007330037967394855,2,1520,853,0.5611842105263158,0.6815015264227682,0.2442122517642136,0.5727400074874638,0.6023065612775957,-0.442674866049613,2.7369285471335365
ridge::D_M_P,D_M_P,False,3.0,16,16,6,ridge,1.0,0.662451084744614,0.009397299583282,33,1520,853,0.5611842105263158,0.7102324100256724,0.2547228361147743,0.5426135115326276,0.5766137085099114,0.1866645716811572,0.203485813771936
ridge_fixed::D_M_P,D_M_P,False,3.0,16,16,6,ridge_fixed,0.1,0.6644146841288855,0.006390564641153199,33,1520,853,0.5611842105263158,0.6853659145522563,0.2457472918241862,0.5599331049598296,0.5966903085980912,0.1095159686122902,0.502639937138027
ridge::B_M_P,B_M_P,False,3.0,13,13,3,ridge,0.1,0.6780361516193909,0.0026235749823047,3,1520,853,0.5611842105263158,0.6773648492273466,0.2421516296273358,0.5641338182022705,0.5978774885462825,-0.0043046618997698,0.9633589296700104
ridge_fixed::B_M_P,B_M_P,False,3.0,13,13,3,ridge_fixed,0.1,0.6780361516193909,0.0026235749823047645,3,1520,853,0.5611842105263158,0.6773648492273466,0.2421516296273358,0.5641338182022705,0.5978774885462825,-0.0043046618997698,0.9633589296700104
ridge::D_B_M_P,D_B_M_P,False,4.0,17,17,7,ridge,1.0,0.6580624718382053,0.0076275535169498,34,1520,853,0.5611842105263158,0.7043353101017589,0.2516436757208246,0.5640960293592946,0.5900312453808635,0.1586045327057281,0.2974714595684599
ridge_fixed::D_B_M_P,D_B_M_P,False,4.0,17,17,7,ridge_fixed,0.1,0.6594517796515222,0.004595645595015583,34,1520,853,0.5611842105263158,0.6803586846891888,0.2432423898742488,0.5793170237858797,0.6108264746956751,0.0859761409831121,0.5817527845325453
ridge::C,C,False,1.0,1,1,1,ridge,0.01,0.6850626975751691,0.0002921597046546,4,1520,853,0.5611842105263158,0.685115998708473,0.2459971313984301,0.5172703800503031,0.5701746852013723,-0.2395981046851929,1.9440128135003696
ridge_fixed::C,C,False,1.0,1,1,1,ridge_fixed,0.1,0.6851786656333417,0.0006907382878258051,4,1520,853,0.5611842105263158,0.6848892262402849,0.2458843303042168,0.5172703800503031,0.5701746852013723,-0.0388544829756735,1.132454233142339
ridge::D_C,D_C,False,2.0,5,5,5,ridge,1.0,0.663365546985366,0.0086450422022232,35,1520,853,0.5611842105263158,0.71091669279504,0.2550285402633426,0.5380155760337886,0.573764687020592,0.1871940813115054,0.1946501771284052
ridge_fixed::D_C,D_C,False,2.0,5,5,5,ridge_fixed,0.1,0.664776068758457,0.005662231217491173,35,1520,853,0.5611842105263158,0.6866799837243998,0.2464083977270341,0.5514525855477888,0.590907120835798,0.1133612955462663,0.4758028973368179
ridge::B_C,B_C,False,2.0,2,2,2,ridge,0.1,0.677672893894383,0.0030277875198266,5,1520,853,0.5611842105263158,0.6766124314072357,0.2417780383240397,0.5707758664630169,0.6006509279451878,-0.0300519831683856,1.0517124149162185
ridge_fixed::B_C,B_C,False,2.0,2,2,2,ridge_fixed,0.1,0.677672893894383,0.003027787519826623,5,1520,853,0.5611842105263158,0.6766124314072357,0.2417780383240397,0.5707758664630169,0.6006509279451878,-0.0300519831683856,1.0517124149162185
ridge::D_B_C,D_B_C,False,3.0,6,6,6,ridge,1.0,0.6594541941664148,0.0063457869907586,36,1520,853,0.5611842105263158,0.7010745337738935,0.2501075814242295,0.5660601703837413,0.589662628460887,0.1462737621822536,0.3243861090147313
ridge_fixed::D_B_C,D_B_C,False,3.0,6,6,6,ridge_fixed,0.1,0.6603270460889997,0.003319913018065466,36,1520,853,0.5611842105263158,0.678149695096429,0.2421582558290674,0.5814745030767148,0.6091278501174853,0.0677194520285828,0.6252633743656105
ridge::M_C,M_C,False,2.0,2,2,2,ridge,0.01,0.6849257353845106,0.0004622508830483,5,1520,853,0.5611842105263158,0.6803620611067617,0.2436554735552682,0.5933823826656426,0.6188529878705393,-0.9432213197108256,4.723880062138042
ridge_fixed::M_C,M_C,False,2.0,2,2,2,ridge_fixed,0.1,0.6851708520181171,0.000701870122852753,5,1520,853,0.5611842105263158,0.6792970886993044,0.2431305636663287,0.589143001769924,0.616698930714029,-0.5738274796576899,3.2313898714012224
ridge::D_M_C,D_M_C,False,3.0,6,6,6,ridge,1.0,0.6636254282527785,0.0085059982572528,36,1520,853,0.5611842105263158,0.7079222439118925,0.2535878196871222,0.5447542934277292,0.5785755357172475,0.1775369069420586,0.2263586636240073
ridge_fixed::D_M_C,D_M_C,False,3.0,6,6,6,ridge_fixed,0.1,0.6648698744829634,0.005557278111253932,36,1520,853,0.5611842105263158,0.6827807801152355,0.2445291180848883,0.5634588918905143,0.599245613383844,0.0899832692011312,0.5595322786519595
ridge::B_M_C,B_M_C,False,3.0,3,3,3,ridge,0.1,0.6779412666628245,0.003021502458519,6,1520,853,0.5611842105263158,0.6735780902944525,0.2402939773006071,0.5988485827426265,0.6226568850243851,-0.073057568024708,1.209941948534971
ridge_fixed::B_M_C,B_M_C,False,3.0,3,3,3,ridge_fixed,0.1,0.6779412666628245,0.0030215024585190393,6,1520,853,0.5611842105263158,0.6735780902944525,0.2402939773006071,0.5988485827426265,0.6226568850243851,-0.073057568024708,1.209941948534971
ridge::D_B_M_C,D_B_M_C,False,4.0,7,7,7,ridge,1.0,0.6597507037177004,0.0062457886142167,37,1520,853,0.5611842105263158,0.7007123406488637,0.2498981004324667,0.5672992929092312,0.5907182508858495,0.1449059989189718,0.3288924687395261
ridge_fixed::D_B_M_C,D_B_M_C,False,4.0,7,7,7,ridge_fixed,0.1,0.6605728618925447,0.003240157565215735,37,1520,853,0.5611842105263158,0.6767741538859647,0.2414948639974418,0.5857982497614029,0.612559518300416,0.0609781611784874,0.6492908388112868
ridge::P_C,P_C,False,2.0,12,12,2,ridge,0.001,0.6853993925537009,0.0001269837380213,5,1520,853,0.5611842105263158,0.685904784500768,0.2463860616210774,0.4703111515754432,0.5328114219076882,2.7081186030826947,-9.86590678444505
ridge_fixed::P_C,P_C,False,2.0,12,12,2,ridge_fixed,0.1,0.6857503173763076,0.0007565971427006732,5,1520,853,0.5611842105263158,0.6862730153653215,0.2465637292082972,0.4862053146931809,0.5414940837699627,0.2314683190555777,0.0576443560253574
ridge::D_P_C,D_P_C,False,3.0,16,16,6,ridge,1.0,0.6635901146249847,0.0093981856813811,36,1520,853,0.5611842105263158,0.7148489961818975,0.2568001369142018,0.5325704674040471,0.570355924978353,0.1991793962148693,0.1579719048027269
