subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se
H_B_A,True,3,3,2,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.654169707977288,0.006361713810103567
H_D_B_A,True,4,7,6,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6396423687725435,0.005861819848389009
H_M_A,True,3,3,2,3,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6533370183829231,0.0030828811502615194
H_D_M_A,True,4,7,6,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6353580028168152,0.005619532677684777
H_B_M_A,True,4,4,3,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6499456254601639,0.005108003930147398
H_D_B_M_A,True,5,8,7,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6338305502789827,0.005506749266237932
H_P_A,True,3,13,12,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6530903874514049,0.0040981464986623185
H_D_P_A,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6285871701772281,0.0040817008836712704
H_B_P_A,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6472657576456973,0.006395152739206081
H_D_B_P_A,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6257299008757918,0.004401914120800568
H_M_P_A,True,4,14,13,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6485239496802059,0.00497300913566669
H_D_M_P_A,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6241806893132597,0.0034529906698215797
H_B_M_P_A,True,5,15,14,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6425625531760141,0.008255942805492774
H_D_B_M_P_A,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6250874030452392,0.005013193029569716
H_C_A,True,3,3,2,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.660672313580278,0.004081627516130746
H_D_C_A,True,4,7,6,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6383217522108077,0.004591149674189569
H_B_C_A,True,4,4,3,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.655155972846597,0.006434994878507052
H_D_B_C_A,True,5,8,7,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6358612151779939,0.005374617848230366
H_M_C_A,True,4,4,3,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6543332876174236,0.0025805967641511053
H_D_M_C_A,True,5,8,7,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6332706689577972,0.005493675912347631
H_B_M_C_A,True,5,5,4,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6508497021563576,0.005499487222101692
H_D_B_M_C_A,True,6,9,8,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6314904390595096,0.004984917273897613
H_P_C_A,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6534907845991386,0.004151250919252948
H_D_P_C_A,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6274583840225614,0.0038673584382314637
H_B_P_C_A,True,5,15,14,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6479188594547443,0.006386353256118754
H_D_B_P_C_A,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6259139407361582,0.004451102697518099
H_M_P_C_A,True,5,15,14,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6473292060300279,0.005757027941463945
H_D_M_P_C_A,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6245078338078603,0.0033975216477971563
H_B_M_P_C_A,True,6,16,15,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.641853069600681,0.00823693486896374
H_D_B_M_P_C_A,True,7,20,19,10,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6244005936211106,0.005415287635173401
H_K,True,2,12,11,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6551165723158504,0.0029361249576053904
H_D_K,True,3,16,15,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6373575092655412,0.006279183743171777
H_B_K,True,3,13,12,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6492228072668206,0.0031965988459009068
H_D_B_K,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6365962838264457,0.005249605383503699
H_M_K,True,3,13,12,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6542403990154226,0.002609226207903935
H_D_M_K,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6342642884563012,0.006588098106738246
H_B_M_K,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6487293659129009,0.0028685466071210154
H_D_B_M_K,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6347062480032359,0.004640399803555699
H_P_K,True,3,23,22,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.64593201240606,0.0030270963795118984
H_D_P_K,True,4,27,26,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6267428742507322,0.0057113128381454555
H_B_P_K,True,4,24,23,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6424551265262731,0.003727093566493699
H_D_B_P_K,True,5,28,27,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6269816019848083,0.004755424931222042
H_M_P_K,True,4,24,23,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6452704002504069,0.0026865292123254706
H_D_M_P_K,True,5,28,27,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6250808827874816,0.006023549014949236
H_B_M_P_K,True,5,25,24,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6419568848845181,0.0036826055252022804
H_D_B_M_P_K,True,6,29,28,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6261257040842678,0.005060412461977316
H_C_K,True,3,13,12,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6558194907029433,0.0031407098850765257
H_D_C_K,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6323415491548227,0.00528087801816782
H_B_C_K,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6498339535856934,0.003341569431954713
H_D_B_C_K,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6338575019623552,0.003942055906030492
H_M_C_K,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6547025786613468,0.0027243135954037137
H_D_M_C_K,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6308125639693732,0.005642268354122304
H_B_M_C_K,True,5,15,14,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6489257983756357,0.002890662589884343
H_D_B_M_C_K,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6319000781600458,0.0033963928670691142
H_P_C_K,True,4,24,23,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6460800195340178,0.003060593622591899
H_D_P_C_K,True,5,28,27,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.624475126256295,0.004526684631976182
H_B_P_C_K,True,5,25,24,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6428963159937501,0.003782734519927468
H_D_B_P_C_K,True,6,29,28,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6248037058472935,0.00489202539298018
H_M_P_C_K,True,5,25,24,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6442834381693988,0.005066380464923934
H_D_M_P_C_K,True,6,29,28,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6221157681523305,0.004451830163841148
H_B_M_P_C_K,True,6,26,25,6,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6423136882856137,0.003756553801806731
H_D_B_M_P_C_K,True,7,30,29,10,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6241557952460349,0.0048233827080743545
H_A_K,True,3,13,12,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6514152746639368,0.0026105309841291573
H_D_A_K,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6359544281197592,0.006384334257547694
H_B_A_K,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6470298241001402,0.0034506106083144403
H_D_B_A_K,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6359409971784027,0.005150886573643232
H_M_A_K,True,4,14,13,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6503056636477578,0.002710579159454453
H_D_M_A_K,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6329011761486733,0.006560386293507615
H_B_M_A_K,True,5,15,14,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6459441878280793,0.0032761333476014364
H_D_B_M_A_K,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.631432008052218,0.004704092320521701
H_P_A_K,True,4,24,23,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6446458606686293,0.0026297072504417353
H_D_P_A_K,True,5,28,27,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6275555889012663,0.005329628356582206
H_B_P_A_K,True,5,25,24,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6418539796891607,0.0033365389582008403
H_D_B_P_A_K,True,6,29,28,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6276160099700226,0.004211949096645183
H_M_P_A_K,True,5,25,24,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6436314824768528,0.004374202375755394
H_D_M_P_A_K,True,6,29,28,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6240137163748294,0.005138098723955418
H_B_M_P_A_K,True,6,26,25,6,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6412421445445927,0.003334451351704531
H_D_B_M_P_A_K,True,7,30,29,10,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6259971587384502,0.004333489557485908
H_C_A_K,True,4,14,13,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6516389360287916,0.004672525519798161
H_D_C_A_K,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6316339199293881,0.005579420574067251
H_B_C_A_K,True,5,15,14,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6474810434365076,0.003885685627418434
H_D_B_C_A_K,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6322112035138269,0.004181750772105322
H_M_C_A_K,True,5,15,14,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6494036879595376,0.0035432280775848112
H_D_M_C_A_K,True,6,19,18,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6281870225128504,0.005519832133530984
H_B_M_C_A_K,True,6,16,15,6,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6462959181251217,0.0034979215900235263
H_D_B_M_C_A_K,True,7,20,19,10,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6287625157468868,0.0030049360979111117
H_P_C_A_K,True,5,25,24,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6447547528461542,0.0026752123421798293
H_D_P_C_A_K,True,6,29,28,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6246830211495736,0.004578386865536356
H_B_P_C_A_K,True,6,26,25,6,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6419792899026956,0.0033513678827727838
H_D_B_P_C_A_K,True,7,30,29,10,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6247995961139475,0.004641527070576423
H_M_P_C_A_K,True,6,26,25,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6403301621005298,0.004563390495117545
H_D_M_P_C_A_K,True,7,30,29,10,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.620817620210149,0.004612385252909294
H_B_M_P_C_A_K,True,7,27,26,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.640396046822754,0.0057115825677007135
H_D_B_M_P_C_A_K,True,8,31,30,11,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6241384882930145,0.004619607554357122
NONE,False,0,0,0,0,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6853643289188563,0.0
D,False,1,4,4,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6641680792622449,0.007159075795686468
B,False,1,1,1,1,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6760966845523163,0.0035299959607843997
D_B,False,2,5,5,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6596841683893251,0.0048693282938120286
M,False,1,1,1,1,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6852367026596052,0.001036980921282341
D_M,False,2,5,5,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.662034606719102,0.006841789005207033
B_M,False,2,2,2,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6755678697099577,0.004181910458950061
D_B_M,False,3,6,6,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6570188823277873,0.004418601354271604
P,False,1,11,11,1,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6783897315032572,0.0030597637897238476
D_P,False,2,15,15,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6465103724542357,0.0065385599610198915
B_P,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6666607127561689,0.0065845773327541145
D_B_P,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.646093388300232,0.004047398084253791
M_P,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.671703667244006,0.0020020037306257925
D_M_P,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6459162942811633,0.007200152486794756
B_M_P,False,3,13,13,3,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6629283445293411,0.009362843467565284
D_B_M_P,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.643490126055774,0.0044678562288292265
C,False,1,1,1,1,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6852618881748,0.0008803466958859497
D_C,False,2,5,5,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6579254494910797,0.0060190702701201455
B_C,False,2,2,2,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6783158980594552,0.004268123337944883
D_B_C,False,3,6,6,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6529262330125998,0.003101999413243048
M_C,False,2,2,2,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6836213261224969,0.0014209495706661932
D_M_C,False,3,6,6,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6561856857413993,0.006099941491539449
B_M_C,False,3,3,3,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6760827048950138,0.003950204124566381
D_B_M_C,False,4,7,7,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6533541346403067,0.002939406719674911
P_C,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6781009480969228,0.003157173692156472
D_P_C,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6441902261965382,0.004816525530562348
B_P_C,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6674632106789147,0.006664845965533483
D_B_P_C,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6437370171830192,0.004526061501805873
M_P_C,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.672607874389161,0.0021784397320437445
D_M_P_C,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6420461508136724,0.004765736717871039
B_M_P_C,False,4,14,14,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6638578452468938,0.00924162539537792
D_B_M_P_C,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6437922295598411,0.004725079303521274
A,False,1,1,1,1,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6808852505971232,0.002372350332719754
D_A,False,2,5,5,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6623660749718976,0.005653999597191115
B_A,False,2,2,2,2,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6710019459030957,0.004794102817375179
D_B_A,False,3,6,6,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6562386633216322,0.003001663868359667
M_A,False,2,2,2,2,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6772961869538674,0.0013849532302688285
D_M_A,False,3,6,6,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6569000724797832,0.005151856372409341
B_M_A,False,3,3,3,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6681826337714976,0.004509258178927193
D_B_M_A,False,4,7,7,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6525111170703061,0.0036319068886076274
P_A,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6742481395854778,0.0029102856411150264
D_P_A,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6456049361312032,0.005641686195888384
B_P_A,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6629140431174951,0.005754434399510667
D_B_P_A,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6414865441001536,0.0019469730627005748
M_P_A,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6672475993585311,0.001488843556506206
D_M_P_A,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.640925623536283,0.0056564001155253426
B_M_P_A,False,4,14,14,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6585996226358602,0.008528619198852574
D_B_M_P_A,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6388773002068678,0.00332766971546377
C_A,False,2,2,2,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6806040664278005,0.0032970142404910273
D_C_A,False,3,6,6,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6558876258753392,0.005443710565453157
B_C_A,False,3,3,3,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6720362640243076,0.005292732099317989
D_B_C_A,False,4,7,7,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6510721146678344,0.002097117796950441
M_C_A,False,3,3,3,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6767846011196252,0.0024456600102920026
D_M_C_A,False,4,7,7,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.650369538146649,0.005212258809438941
B_M_C_A,False,4,4,4,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6688763161043015,0.004666044119997584
D_B_M_C_A,False,5,8,8,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6485929332417237,0.0016904435722521279
P_C_A,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6744181263671215,0.003090495961583647
D_P_C_A,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6433859098903928,0.00412608758548713
B_P_C_A,False,4,14,14,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.66398572162648,0.006141193834213988
D_B_P_C_A,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6411137925061332,0.002458550926212
M_P_C_A,False,4,14,14,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6688804972166953,0.002092928695416758
D_M_P_C_A,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6379512231708448,0.003915096035708597
B_M_P_C_A,False,5,15,15,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6603418018426453,0.009170707095732627
D_B_M_P_C_A,False,6,19,19,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6383627512480679,0.0033605176356750386
K,False,1,11,11,1,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6727218216307507,0.0031148023298992423
D_K,False,2,15,15,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6540098819509813,0.007009767389238162
B_K,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6651121317352485,0.001835738069656301
D_B_K,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6524765366393972,0.0036209260552402
M_K,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6737182905304431,0.0033815261262411904
D_M_K,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6527632824703552,0.0069781054489285515
B_M_K,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6655336458357443,0.0020240527600383132
D_B_M_K,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6521749448220446,0.003225837856737235
P_K,False,2,22,22,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6636280943279107,0.0028399206611696153
D_P_K,False,3,26,26,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6396158791923879,0.005578612753274611
B_P_K,False,3,23,23,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6571878700671222,0.003078784459064632
D_B_P_K,False,4,27,27,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6381764214529781,0.00529367422647338
M_P_K,False,3,23,23,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6635609346628022,0.002989316040677152
D_M_P_K,False,4,27,27,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6384235896513966,0.005809713992536029
B_M_P_K,False,4,24,24,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6569770422723052,0.003023132503265316
D_B_M_P_K,False,5,28,28,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6371890870204687,0.0051227676290163835
C_K,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6733090557258896,0.003058752163981528
D_C_K,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.65202255362238,0.0058842508085355395
B_C_K,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6657371974381698,0.0016854232871974138
D_B_C_K,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6506168103339054,0.0017563969840394887
M_C_K,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6743142673240284,0.0032833341027827334
D_M_C_K,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6505974612285366,0.006066088822774497
B_M_C_K,False,4,14,14,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.666096352632087,0.0019513465036676266
D_B_M_C_K,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6507182642106256,0.0023361901664479003
P_C_K,False,3,23,23,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6641574645590496,0.0027491633670543194
D_P_C_K,False,4,27,27,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6370776595795395,0.004561522725910191
B_P_C_K,False,4,24,24,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6578219010742697,0.002966938995893042
D_B_P_C_K,False,5,28,28,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6359320996280466,0.0040467862077567356
M_P_C_K,False,4,24,24,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6640515266159325,0.002807492287221124
D_M_P_C_K,False,5,28,28,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6355806648810444,0.005268819387614979
B_M_P_C_K,False,5,25,25,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6574421722928857,0.002980927254153866
D_B_M_P_C_K,False,6,29,29,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6349730664853964,0.0047501275016136124
A_K,False,2,12,12,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6676616362156436,0.0024878661894016945
D_A_K,False,3,16,16,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6520577069665916,0.0054711806845596945
B_A_K,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6600298718797587,0.002467048622563907
D_B_A_K,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6496914925417515,0.0021150447793747136
M_A_K,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6677709315413494,0.0026376626834062698
D_M_A_K,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6479361571413184,0.005760418705646166
B_M_A_K,False,4,14,14,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6604966110434094,0.002589570565553793
D_B_M_A_K,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6469673531200899,0.0027098975433773034
