algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
hgb,False,extended_K,hgb::D_B_M,D_B_M,6,0.7132674449486055,hgb::D_B_M_P_C_A_K,prevalence,0.0004621413712272,0.0247921987368877,0.0276238951035889,0.0519539524692494,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_C_A,D_C_A,6,0.7232261416656027,hgb::D_B_M_P_C_A_K,prevalence,0.0104208380882245,0.034750895453885,0.0375825918205862,0.0619126491862468,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_A,D_B_A,6,0.7239225239205148,hgb::D_B_M_P_C_A_K,prevalence,0.0111172203431366,0.0354472777087971,0.0382789740754983,0.0626090314411589,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_M_A,D_M_A,6,0.7471951330539943,hgb::D_B_M_P_C_A_K,prevalence,0.034389829476616,0.0587198868422765,0.0615515832089778,0.0858816405746384,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_C,D_B_M_C,7,0.7095530395277299,hgb::D_B_M_P_C_A_K,prevalence,-0.0032522640496483,0.0210777933160121,0.0239094896827133,0.0482395470483738,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_C_A,D_B_C_A,7,0.7180807551787115,hgb::D_B_M_P_C_A_K,prevalence,0.0052754516013333,0.0296055089669938,0.0324372053336949,0.0567672626993555,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_A,D_B_M_A,7,0.740054920959283,hgb::D_B_M_P_C_A_K,prevalence,0.0272496173819048,0.0515796747475653,0.0544113711142665,0.078741428479927,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_M_C_A,D_M_C_A,7,0.7422967027812452,hgb::D_B_M_P_C_A_K,prevalence,0.0294913992038668,0.0538214565695273,0.0566531529362285,0.080983210301889,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_C_A,D_B_M_C_A,8,0.7389412284305829,hgb::D_B_M_P_C_A_K,prevalence,0.0261359248532046,0.0504659822188652,0.0532976785855664,0.0776277359512269,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::K,K,11,0.6600205097239755,hgb::D_B_M_P_C_A_K,prevalence,-0.0527847938534025,-0.028454736487742,-0.0256230401210409,-0.0012929827553803,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::P,P,11,0.696520625248842,hgb::D_B_M_P_C_A_K,prevalence,-0.0162846783285364,0.008045379037124,0.0108770754038251,0.0352071327694857,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_K,M_K,12,0.6580373906034016,hgb::D_B_M_P_C_A_K,prevalence,-0.0547679129739765,-0.030437855608316,-0.027606159241615,-0.0032761018759545,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::C_K,C_K,12,0.6593130459702806,hgb::D_B_M_P_C_A_K,prevalence,-0.0534922576070976,-0.0291622002414371,-0.0263305038747358,-0.0020004465090753,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::B_K,B_K,12,0.6606060783956187,hgb::D_B_M_P_C_A_K,prevalence,-0.0521992251817596,-0.0278691678160991,-0.0250374714493979,-0.0007074140837373,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::A_K,A_K,12,0.6719822112044119,hgb::D_B_M_P_C_A_K,prevalence,-0.0408230923729663,-0.0164930350073058,-0.0136613386406046,0.0106687187250558,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_P,M_P,12,0.6871473031035986,hgb::D_B_M_P_C_A_K,prevalence,-0.0256580004737796,-0.001327943108119,0.001503753258582,0.0258338106242426,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_P,B_P,12,0.6933746646130066,hgb::D_B_M_P_C_A_K,prevalence,-0.0194306389643717,0.0048994184012888,0.00773111476799,0.0320611721336505,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::P_C,P_C,12,0.6939126034893236,hgb::D_B_M_P_C_A_K,prevalence,-0.0188927000880547,0.0054373572776057,0.0082690536443069,0.0325991110099674,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::P_A,P_A,12,0.699475071126186,hgb::D_B_M_P_C_A_K,prevalence,-0.0133302324511922,0.0109998249144683,0.0138315212811694,0.03816157864683,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_C_K,M_C_K,13,0.6579272719599105,hgb::D_B_M_P_C_A_K,prevalence,-0.0548780316174678,-0.0305479742518073,-0.0277162778851061,-0.0033862205194456,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::B_C_K,B_C_K,13,0.659877470904759,hgb::D_B_M_P_C_A_K,prevalence,-0.0529278326726192,-0.0285977753069586,-0.0257660789402574,-0.0014360215745969,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::B_M_K,B_M_K,13,0.6616794321882562,hgb::D_B_M_P_C_A_K,prevalence,-0.0511258713891221,-0.0267958140234616,-0.0239641176567604,0.0003659397089,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,2,1
hgb,False,extended_K,hgb::B_A_K,B_A_K,13,0.6681056664295303,hgb::D_B_M_P_C_A_K,prevalence,-0.0446996371478479,-0.0203695797821874,-0.0175378834154862,0.0067921739501742,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::M_A_K,M_A_K,13,0.6707118865748299,hgb::D_B_M_P_C_A_K,prevalence,-0.0420934170025482,-0.0177633596368876,-0.0149316632701865,0.0093983940954739,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
