threshold,model,net_benefit,scope
0.25000000000000006,P0,0.41491228070175434,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::D_B_M_P_C_A,0.40877192982456134,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::D_B_M_P_C_A_K,0.40789473684210525,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::D_M_P_A,0.4076754385964912,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::D_M_P_A_K,0.4021929824561403,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::H_D_B_M_P_C_A,0.41337719298245607,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::H_D_B_M_P_C_A_K,0.4131578947368421,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::H_D_M_P,0.4094298245614035,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,hgb::H_D_M_P_A,0.40877192982456134,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,prevalence,0.41491228070175434,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::D_A_K,0.4072368421052632,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::D_B,0.4052631578947368,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::D_B_M_P_C_A,0.40921052631578947,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::D_B_M_P_C_A_K,0.4072368421052632,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::H_D,0.41578947368421054,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::H_D_B_A,0.41973684210526313,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::H_D_B_M_P_C_A,0.41710526315789476,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,ridge::H_D_B_M_P_C_A_K,0.4153508771929824,hypothetical classification utility; not intervention effectiveness
0.25000000000000006,act_none,0.0,
0.25000000000000006,act_all,0.41491228070175445,
0.30000000000000004,P0,0.3731203007518797,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::D_B_M_P_C_A,0.3632518796992481,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::D_B_M_P_C_A_K,0.35874060150375936,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::D_M_P_A,0.35817669172932326,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::D_M_P_A_K,0.3521616541353383,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::H_D_B_M_P_C_A,0.3755639097744361,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::H_D_B_M_P_C_A_K,0.3682330827067669,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::H_D_M_P,0.3734022556390977,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,hgb::H_D_M_P_A,0.3731203007518797,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,prevalence,0.3731203007518797,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::D_A_K,0.36860902255639094,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::D_B,0.3669172932330827,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::D_B_M_P_C_A,0.3674812030075187,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::D_B_M_P_C_A_K,0.3678571428571428,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::H_D,0.3758458646616541,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::H_D_B_A,0.3777255639097744,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::H_D_B_M_P_C_A,0.3765037593984962,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,ridge::H_D_B_M_P_C_A_K,0.37133458646616535,hypothetical classification utility; not intervention effectiveness
0.30000000000000004,act_none,0.0,
0.30000000000000004,act_all,0.37312030075187974,
0.3500000000000001,P0,0.32489878542510114,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,hgb::D_B_M_P_C_A,0.3151315789473684,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,hgb::D_B_M_P_C_A_K,0.31371457489878535,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,hgb::D_M_P_A,0.3070344129554655,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,hgb::D_M_P_A_K,0.2973178137651821,hypothetical classification utility; not intervention effectiveness
