algorithm,has_history,domain,candidate,reference,delta_log_loss,pointwise_lower95_percentile,pointwise_upper95_percentile,pointwise_upper_one_sided95_basic,selected_family_joint_upper95_basic,family_contrasts,fixed_prediction_bootstrap_reps,fixed_prediction_joint_NI_0.0025,fixed_prediction_joint_NI_0.005,fixed_prediction_joint_NI_0.01,fixed_prediction_joint_NI_0.02,union_refit_joint_upper95_basic,union_refit_pointwise_upper95_basic,union_refit_percentile95_low,union_refit_percentile95_high,union_refit_reps,refit_scope,union_refit_joint_NI_0.0025,union_refit_joint_NI_0.005,union_refit_joint_NI_0.01,union_refit_joint_NI_0.02
ridge,True,extended_K,ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,0.010247036400673606,0.0035980790497608796,0.017164327330393234,0.015876258573936493,0.018263497112718425,4,2000,False,False,False,True,0.03587352542928325,0.027264737942875625,-0.009963980449460008,0.021592265350530628,500.0,fixed frozen subset and hyperparameters; reselection uncertainty excluded,False,False,False,False
ridge,False,extended_K,ridge::D_A_K,ridge::D_B_M_P_C_A_K,0.0009274614581027592,-0.00495469894233648,0.006469606814165677,0.0058587033306781635,0.008943922170147578,4,2000,False,False,True,True,0.026553950486712403,0.017340193038501216,-0.01850311984076667,0.012880683528833103,500.0,fixed frozen subset and hyperparameters; reselection uncertainty excluded,False,False,False,False
hgb,True,extended_K,hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,0.03214923873273816,0.023612763903498046,0.04081049263367652,0.03949352710886328,0.040165699444782973,4,2000,False,False,False,False,0.0577757277613478,0.05643453216719182,0.005296788878968112,0.04426588967503047,500.0,fixed frozen subset and hyperparameters; reselection uncertainty excluded,False,False,False,False
hgb,False,extended_K,hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K,0.011185911680676763,0.005407159963020833,0.017279537089126558,0.01629531934899444,0.01920237239272158,4,2000,False,False,False,True,0.03681240070928641,0.025486513224790862,-0.005898149684203072,0.021744680216362316,500.0,fixed frozen subset and hyperparameters; reselection uncertainty excluded,False,False,False,False
ridge,True,original_noK,ridge::H_D,ridge::H_D_B_M_P_C_A,-0.018177937988714025,-0.02578330201463024,-0.010822966073847728,-0.011683223280792063,-0.009603130635539109,4,2000,True,True,True,True,,,,,,,,,,
ridge,False,original_noK,ridge::D_B,ridge::D_B_M_P_C_A,-0.021847927839829875,-0.030154697024018986,-0.013731535774198436,-0.014827096569007225,-0.013273120486654959,4,2000,True,True,True,True,,,,,,,,,,
hgb,True,original_noK,hgb::H_D_M_P,hgb::H_D_B_M_P_C_A,-0.013412030627237973,-0.021605900469309033,-0.0051193826279395975,-0.006492914465809053,-0.004837223274063057,4,2000,True,True,True,True,,,,,,,,,,
hgb,False,original_noK,hgb::D_M_P_A,hgb::D_B_M_P_C_A,0.0062673765205928135,-0.0010427436164992113,0.013671010465779865,0.012519026552274597,0.01484218387376773,4,2000,False,False,False,True,,,,,,,,,,
