algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,evaluation_subgroup,evaluation_n,model_variants_passing_same_subset,learner_families_passing_same_subset
ridge_fixed,False,extended_K,ridge_fixed::B_C_K,B_C_K,13,0.6657892073729653,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.049308245917620556,-0.024396285195941603,-0.026195913335613323,-0.00128395261393437,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,1,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_K,H_B_K,12,0.6560005522953006,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.04931518853074748,-0.027063438307815924,-0.0232959037399479,-0.001044153517016349,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,1,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_C_K,H_B_C_K,13,0.6557311664656951,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.049584574360353136,-0.027332824137421583,-0.023565289569553574,-0.0013135393466220217,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,1,1
